optimizer,final_train_loss,final_test_loss,final_train_accuracy,final_test_accuracy,runtime_s
hamiltonian_geometric,0.226491976503,0.300488973265,0.93425,0.912,1.16403330001
nesterov,0.18903639178,0.302872674063,0.948,0.913,1.2903786
sgd,0.258492646366,0.306908575928,0.923,0.913,0.788618999999
heavy_ball,0.184797033058,0.3079513061,0.94925,0.914,0.890442000004
adamw,0.158446024658,0.311512644498,0.95675,0.909,0.8715543
entropy_descent,0.205203909611,0.340615742458,0.9395,0.903,0.951427399996
