optimizer,best_trial,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,runtime_s,hyperparameters
hamiltonian_geometric,3,0.0509164855711,0.116062886954,0.986666666667,0.973333333333,0.915940499995,"{'learning_rate': 0.03, 'beta': 0.9, 'memory_coupling': 0.001, 'metric_decay': 0.99, 'metric_epsilon': 1e-08, 'weight_decay': 0.0001}"
adamw,5,0.0534653274675,0.12165631543,0.986666666667,0.973333333333,1.08551400001,"{'learning_rate': 0.03, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.0001}"
nag,6,0.088006777851,0.149615228545,0.981111111111,0.966666666667,1.0547098,"{'learning_rate': 0.06, 'momentum': 0.9, 'weight_decay': 0.0001}"
heavy_ball,6,0.0915642767156,0.154720080175,0.977777777778,0.966666666667,0.9249442,"{'learning_rate': 0.06, 'momentum': 0.9, 'weight_decay': 0.0001}"
