seed,metric,configuration,step,loss
6,control,G0M0S0,0,0.6763089089956364
6,control,G0M0S0,75,-15.77848985592403
6,control,G0M0S0,150,-28.051083234361894
6,control,G0M0S0,225,-33.17961386142128
6,control,G0M0S0,299,-33.19870182701608
6,control,G0M0S1,0,0.6763089089956364
6,control,G0M0S1,75,-15.774513054869898
6,control,G0M0S1,150,-28.051918319554076
6,control,G0M0S1,225,-33.17964330974355
6,control,G0M0S1,299,-33.1987024652893
6,control,G0M1S0,0,0.6763089089956364
6,control,G0M1S0,75,-17.304265905831183
6,control,G0M1S0,150,-30.95628127488289
6,control,G0M1S0,225,-33.19789408926292
6,control,G0M1S0,299,-33.19871787510685
6,control,G0M1S1,0,0.6763089089956364
6,control,G0M1S1,75,-17.301651862460577
6,control,G0M1S1,150,-30.956888863624712
6,control,G0M1S1,225,-33.19789899266144
6,control,G0M1S1,299,-33.19871782606755
6,control,G1M0S0,0,0.6763089089956364
6,control,G1M0S0,75,-15.902495675076464
6,control,G1M0S0,150,-28.067996691174304
6,control,G1M0S0,225,-33.18034493510592
6,control,G1M0S0,299,-33.19870248866603
6,control,G1M0S1,0,0.6763089089956364
6,control,G1M0S1,75,-15.898633246936303
6,control,G1M0S1,150,-28.06886664386813
6,control,G1M0S1,225,-33.180374010094695
6,control,G1M0S1,299,-33.19870311096117
6,control,G1M1S0,0,0.6763089089956364
6,control,G1M1S0,75,-17.410272121936295
6,control,G1M1S0,150,-30.986686061870294
6,control,G1M1S0,225,-33.19793896460635
6,control,G1M1S0,299,-33.19871788189084
6,control,G1M1S1,0,0.6763089089956364
6,control,G1M1S1,75,-17.407733491952087
6,control,G1M1S1,150,-30.98731194323867
6,control,G1M1S1,225,-33.1979437384483
6,control,G1M1S1,299,-33.198717831240934
6,hessian,G0M0S0,0,0.6763089089956364
6,hessian,G0M0S0,75,-33.19776050884364
6,hessian,G0M0S0,150,-33.19871780651719
6,hessian,G0M0S0,225,-33.19871800503558
6,hessian,G0M0S0,299,-33.19871800507695
6,hessian,G0M0S1,0,0.6763089089956364
6,hessian,G0M0S1,75,-33.19771037681001
6,hessian,G0M0S1,150,-33.19871709111957
6,hessian,G0M0S1,225,-33.19871742894091
6,hessian,G0M0S1,299,-33.19871743097142
6,hessian,G0M1S0,0,0.6763089089956364
