study,seed,configuration,steps,initial_train_loss,final_train_loss,validation_loss,validation_accuracy,runtime_s,examples_per_second,peak_gpu_memory_mb,target_accuracy,updates_to_target,time_to_target_s,target_reached,device,torch_version
gpu_neural,0,HG_metric_momentum,600,2.3069705963134766,0.04880542680621147,0.5496646761894226,0.8623046875,6.419609600008698,47853.37725203473,51.73779296875,0.9,,,False,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,0,HG_metric_no_momentum,600,2.3069705963134766,0.11010958254337311,0.22706954181194305,0.905029296875,5.8166706999909366,52813.716960198326,51.73779296875,0.9,475,4.666595699993195,True,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,0,HG_scalar_momentum,600,2.3069705963134766,0.060606978833675385,0.545974612236023,0.865234375,5.498107199993683,55873.7741600151,51.73779296875,0.9,,,False,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,0,HG_scalar_no_momentum,600,2.3069705963134766,0.10498972237110138,0.22563770413398743,0.90576171875,5.38679140000022,57028.3824244591,51.73779296875,0.9,475,4.241454600007273,True,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,0,SGD_momentum,600,2.3069705963134766,0.028168294578790665,0.22706292569637299,0.910888671875,2.612579900000128,117584.9205607013,50.974609375,0.9,325,1.3863376999943284,True,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,0,AdamW,600,2.3069705963134766,0.03389571234583855,0.390358030796051,0.887451171875,3.215374999999767,95540.95556506542,51.73779296875,0.9,,,False,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,1,HG_metric_momentum,600,2.310523509979248,0.05758243054151535,0.5438268184661865,0.86083984375,5.522437799998443,55627.60706876348,51.73779296875,0.9,,,False,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,1,HG_metric_no_momentum,600,2.310523509979248,0.10572221875190735,0.22275668382644653,0.90869140625,5.976827399994363,51398.50617073027,51.73779296875,0.9,450,4.560205500005395,True,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,1,HG_scalar_momentum,600,2.310523509979248,0.01338895782828331,0.5059303641319275,0.8662109375,5.623724699995364,54625.71807618059,51.73779296875,0.9,,,False,NVIDIA GeForce GTX 1050,2.13.0+cu126
gpu_neural,1,HG_scalar_no_momentum,600,2.310523509979248,0.10068550705909729,0.22177010774612427,0.908203125,6.036418400006369,50891.10456619042,51.73779296875,0.9,450,4.612159900003462,True,NVIDIA GeForce GTX 1050,2.13.0+cu126
