configuration,n,finite_n,median,mean,std,ci95_low,ci95_high,divergence_count,median_runtime_s
AdamW,10,10,0.986572265625,0.9862060546875,0.0024257582292950652,0.984130859375,0.98828125,0,2.0566608000008273
HG_metric_momentum,10,10,0.978271484375,0.9799560546875,0.0042183688270203985,0.9769287109375,0.9833984375,0,3.7950591500048176
HG_metric_no_momentum,10,10,0.969970703125,0.9693603515625,0.002132254639741846,0.968505859375,0.970703125,0,3.6585791500037885
HG_scalar_momentum,10,10,0.978759765625,0.9783935546875,0.004783121312102322,0.9761962890625,0.980712890625,0,3.8701034499972593
HG_scalar_no_momentum,10,10,0.9718017578125,0.9720458984375,0.0023395925311629315,0.9697265625,0.97412109375,0,3.658195199997863
SGD_momentum,10,10,0.99267578125,0.9924072265625,0.0016814419359127536,0.9913330078125,0.99365234375,0,1.6825814499970875
