step,optimizer,loss
1,sgd,20
1,adam,20
1,falling_ball,20
1,entropy_descent,20
1,hamiltonian_geometric,20
2,sgd,19.9999924041
2,adam,21.5543658447
2,falling_ball,19.9999924041
2,entropy_descent,19.8978457703
2,hamiltonian_geometric,19.8978862224
3,sgd,19.9999865382
3,adam,21.6421727522
3,falling_ball,19.9999836329
3,entropy_descent,19.7997074957
3,hamiltonian_geometric,19.7097228382
4,sgd,19.999981254
4,adam,21.6499828763
4,falling_ball,19.9999691891
4,entropy_descent,19.7054266488
4,hamiltonian_geometric,19.4562209019
5,sgd,19.9999762848
5,adam,20.7830194753
5,falling_ball,19.9999561336
5,entropy_descent,19.6148509648
5,hamiltonian_geometric,19.1603668491
6,sgd,19.9999715405
6,adam,20.7535552687
6,falling_ball,19.99994004
6,entropy_descent,19.5278341936
6,hamiltonian_geometric,18.8452547123
7,sgd,19.9999669763
7,adam,20.4253075427
7,falling_ball,19.9999247235
7,entropy_descent,19.4442358622
7,hamiltonian_geometric,18.5322571264
8,sgd,19.9999625629
8,adam,21.0321936534
8,falling_ball,19.999908607
8,entropy_descent,19.3639210469
8,hamiltonian_geometric,18.2396223405
9,sgd,19.9999582785
9,adam,20.6897453354
9,falling_ball,19.999891816
9,entropy_descent,19.2867601534
9,hamiltonian_geometric,17.9815375433
10,sgd,19.999954106
10,adam,20.3784651154
10,falling_ball,19.999875618
10,entropy_descent,19.2126287066
10,hamiltonian_geometric,17.767656299
11,sgd,19.9999500312
11,adam,20.4483724877
11,falling_ball,19.9998578769
11,entropy_descent,19.1414071482
11,hamiltonian_geometric,17.6030523763
12,sgd,19.9999460426
12,adam,20.2656866711
12,falling_ball,19.9998406898
12,entropy_descent,19.0729806427
12,hamiltonian_geometric,17.4885353475
13,sgd,19.9999421302
13,adam,20.2689221886
13,falling_ball,19.9998223604
13,entropy_descent,19.0072388902
13,hamiltonian_geometric,17.4212457333
14,sgd,19.9999382858
14,adam,20.3875129878
14,falling_ball,19.9998042654
14,entropy_descent,18.9440759478
14,hamiltonian_geometric,17.3954390465
15,sgd,19.9999345021
15,adam,20.3361812691
15,falling_ball,19.9997856323
15,entropy_descent,18.8833900572
15,hamiltonian_geometric,17.4033680134
16,sgd,19.9999307731
16,adam,20.3443777962
16,falling_ball,19.9997667257
16,entropy_descent,18.8250834792
16,hamiltonian_geometric,17.4361791967
17,sgd,19.9999270932
17,adam,20.2517116443
17,falling_ball,19.9997477805
17,entropy_descent,18.7690623351
17,hamiltonian_geometric,17.4847525459
18,sgd,19.9999234578
18,adam,20.0558275323
18,falling_ball,19.9997283987
18,entropy_descent,18.7152364543
18,hamiltonian_geometric,17.5404282461
19,sgd,19.9999198629
19,adam,20.0990448741
19,falling_ball,19.9997092167
19,entropy_descent,18.6635192275
19,hamiltonian_geometric,17.5955828412
20,sgd,19.9999163048
20,adam,20.210674736
20,falling_ball,19.9996898051
20,entropy_descent,18.6138274661
20,hamiltonian_geometric,17.6440343215
21,sgd,19.9999127802
21,adam,20.1691094054
21,falling_ball,19.9996704902
21,entropy_descent,18.566081267
21,hamiltonian_geometric,17.6812723094
22,sgd,19.9999092864
22,adam,20.1524741955
22,falling_ball,19.9996510886
22,entropy_descent,18.5202038831
22,hamiltonian_geometric,17.7045235861
23,sgd,19.9999058208
23,adam,20.1320765107
23,falling_ball,19.9996316315
23,entropy_descent,18.4761215982
23,hamiltonian_geometric,17.712674256
24,sgd,19.9999023811
24,adam,20.0510739463
24,falling_ball,19.9996122458
24,entropy_descent,18.4337636073
24,hamiltonian_geometric,17.7060774865
25,sgd,19.9998989653
25,adam,20.0649830896
25,falling_ball,19.9995927435
25,entropy_descent,18.3930619018
25,hamiltonian_geometric,17.6862799462
26,sgd,19.9998955716
26,adam,20.1133075534
26,falling_ball,19.9995733682
26,entropy_descent,18.3539511591
26,hamiltonian_geometric,17.6557010192
27,sgd,19.9998921984
27,adam,20.0875274801
27,falling_ball,19.9995539192
27,entropy_descent,18.316368636
27,hamiltonian_geometric,17.6172970535
28,sgd,19.9998888441
28,adam,20.07258071
28,falling_ball,19.999534565
28,entropy_descent,18.2802540672
28,hamiltonian_geometric,17.5742388787
29,sgd,19.9998855075
29,adam,20.0619801498
