optimizer,seed,val_loss,hyperparameters
adamw,0,0.039859037423152346,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.03, ""weight_decay"": 0.0001}"
adamw,1,0.027883986433350712,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.03, ""weight_decay"": 0.0001}"
adamw,2,0.054077851280172846,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.03, ""weight_decay"": 0.0001}"
adamw,3,0.04400443535572759,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.03, ""weight_decay"": 0.0001}"
adamw,4,0.0424390810882708,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.03, ""weight_decay"": 0.0001}"
adamw,5,0.06263751644244352,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.03, ""weight_decay"": 0.0001}"
adamw,6,0.04595809168649896,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.03, ""weight_decay"": 0.0001}"
adamw,7,0.047775547017995475,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.03, ""weight_decay"": 0.0001}"
adamw,8,0.12165631542963086,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.03, ""weight_decay"": 0.0001}"
adamw,9,0.050763221482775046,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.03, ""weight_decay"": 0.0001}"
nag,0,0.07092946184017414,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
nag,1,0.06104545714449162,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
nag,2,0.08924102142998859,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
nag,3,0.0716590199632807,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
nag,4,0.07538632693836457,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
nag,5,0.10063734410039292,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
nag,6,0.09645593225018866,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
nag,7,0.08429079125900782,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
nag,8,0.14961522854509995,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
nag,9,0.0837534672127298,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
heavy_ball,0,0.0761113880989389,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
heavy_ball,1,0.06210215858217694,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
heavy_ball,2,0.08748254021917172,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
heavy_ball,3,0.07451043494471649,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
heavy_ball,4,0.07963033991023197,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
heavy_ball,5,0.10146961518861161,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
heavy_ball,6,0.09868828706310381,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
heavy_ball,7,0.0848794337146607,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
heavy_ball,8,0.15472008017520886,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
heavy_ball,9,0.0866945532655121,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
