comparison,n,hg_mean,other_mean,mean_difference,cohen_dz,paired_t,paired_p,hg_wins,holm_p
hamiltonian_geometric-vs-adamw,10,0.05289942180595515,0.05370550836400182,-0.0008060865580466675,-0.17521949900069422,-0.554092707315791,0.5930137971523789,7,0.5930137971523789
hamiltonian_geometric-vs-nag,10,0.05289942180595515,0.08830140506837188,-0.035401983262416725,-4.4513062770264,-14.076266398407862,1.9567634317518614e-07,10,3.9883300169517504e-07
hamiltonian_geometric-vs-heavy_ball,10,0.05289942180595515,0.09062888311623332,-0.03772946131027816,-4.654509133452917,-14.718850251767838,1.3294433389839167e-07,10,3.9883300169517504e-07
