optimizer,trial,seed,val_loss,hyperparameters
heavy_ball,3,100,0.15194259970787793,"{""learning_rate"": 0.03, ""momentum"": 0.85, ""weight_decay"": 0.0001}"
heavy_ball,3,101,0.16165405089545426,"{""learning_rate"": 0.03, ""momentum"": 0.85, ""weight_decay"": 0.0001}"
heavy_ball,3,102,0.20026358966212837,"{""learning_rate"": 0.03, ""momentum"": 0.85, ""weight_decay"": 0.0001}"
heavy_ball,4,100,0.10559574252922649,"{""learning_rate"": 0.03, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
heavy_ball,4,101,0.1167310042087338,"{""learning_rate"": 0.03, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
heavy_ball,4,102,0.15669653326616473,"{""learning_rate"": 0.03, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
heavy_ball,5,100,0.0813289335134049,"{""learning_rate"": 0.06, ""momentum"": 0.85, ""weight_decay"": 0.0001}"
heavy_ball,5,101,0.0923202664460864,"{""learning_rate"": 0.06, ""momentum"": 0.85, ""weight_decay"": 0.0001}"
heavy_ball,5,102,0.13400838997667447,"{""learning_rate"": 0.06, ""momentum"": 0.85, ""weight_decay"": 0.0001}"
heavy_ball,6,100,0.05758740384599133,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
heavy_ball,6,101,0.06875299004785408,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
heavy_ball,6,102,0.10423891365442581,"{""learning_rate"": 0.06, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
hamiltonian_geometric,1,100,0.035559639158243755,"{""beta"": 0.9, ""learning_rate"": 0.03, ""memory_coupling"": 0.001, ""metric_decay"": 0.999, ""metric_epsilon"": 1e-08, ""weight_decay"": 0.0001}"
hamiltonian_geometric,1,101,0.04207751059235016,"{""beta"": 0.9, ""learning_rate"": 0.03, ""memory_coupling"": 0.001, ""metric_decay"": 0.999, ""metric_epsilon"": 1e-08, ""weight_decay"": 0.0001}"
hamiltonian_geometric,1,102,0.06787822282271803,"{""beta"": 0.9, ""learning_rate"": 0.03, ""memory_coupling"": 0.001, ""metric_decay"": 0.999, ""metric_epsilon"": 1e-08, ""weight_decay"": 0.0001}"
hamiltonian_geometric,2,100,0.03269801712684943,"{""beta"": 0.9, ""learning_rate"": 0.03, ""memory_coupling"": 0.001, ""metric_decay"": 0.995, ""metric_epsilon"": 1e-08, ""weight_decay"": 0.0001}"
hamiltonian_geometric,2,101,0.03873878628898641,"{""beta"": 0.9, ""learning_rate"": 0.03, ""memory_coupling"": 0.001, ""metric_decay"": 0.995, ""metric_epsilon"": 1e-08, ""weight_decay"": 0.0001}"
hamiltonian_geometric,2,102,0.06288758845900189,"{""beta"": 0.9, ""learning_rate"": 0.03, ""memory_coupling"": 0.001, ""metric_decay"": 0.995, ""metric_epsilon"": 1e-08, ""weight_decay"": 0.0001}"
hamiltonian_geometric,3,100,0.032139058940113936,"{""beta"": 0.9, ""learning_rate"": 0.03, ""memory_coupling"": 0.001, ""metric_decay"": 0.99, ""metric_epsilon"": 1e-08, ""weight_decay"": 0.0001}"
hamiltonian_geometric,3,101,0.03771844491876873,"{""beta"": 0.9, ""learning_rate"": 0.03, ""memory_coupling"": 0.001, ""metric_decay"": 0.99, ""metric_epsilon"": 1e-08, ""weight_decay"": 0.0001}"
hamiltonian_geometric,3,102,0.06179948547252839,"{""beta"": 0.9, ""learning_rate"": 0.03, ""memory_coupling"": 0.001, ""metric_decay"": 0.99, ""metric_epsilon"": 1e-08, ""weight_decay"": 0.0001}"
hamiltonian_geometric,4,100,0.03557757389939282,"{""beta"": 0.9, ""learning_rate"": 0.03, ""memory_coupling"": 0.003, ""metric_decay"": 0.999, ""metric_epsilon"": 1e-08, ""weight_decay"": 0.0001}"
hamiltonian_geometric,4,101,0.0420920266260137,"{""beta"": 0.9, ""learning_rate"": 0.03, ""memory_coupling"": 0.003, ""metric_decay"": 0.999, ""metric_epsilon"": 1e-08, ""weight_decay"": 0.0001}"
hamiltonian_geometric,4,102,0.06794455736283879,"{""beta"": 0.9, ""learning_rate"": 0.03, ""memory_coupling"": 0.003, ""metric_decay"": 0.999, ""metric_epsilon"": 1e-08, ""weight_decay"": 0.0001}"
hamiltonian_geometric,5,100,0.03269535856003078,"{""beta"": 0.9, ""learning_rate"": 0.03, ""memory_coupling"": 0.003, ""metric_decay"": 0.995, ""metric_epsilon"": 1e-08, ""weight_decay"": 0.0001}"
hamiltonian_geometric,5,101,0.03874537659160704,"{""beta"": 0.9, ""learning_rate"": 0.03, ""memory_coupling"": 0.003, ""metric_decay"": 0.995, ""metric_epsilon"": 1e-08, ""weight_decay"": 0.0001}"
hamiltonian_geometric,5,102,0.06294120396028034,"{""beta"": 0.9, ""learning_rate"": 0.03, ""memory_coupling"": 0.003, ""metric_decay"": 0.995, ""metric_epsilon"": 1e-08, ""weight_decay"": 0.0001}"
hamiltonian_geometric,6,100,0.032132356833664555,"{""beta"": 0.9, ""learning_rate"": 0.03, ""memory_coupling"": 0.003, ""metric_decay"": 0.99, ""metric_epsilon"": 1e-08, ""weight_decay"": 0.0001}"
hamiltonian_geometric,6,101,0.03769778438958111,"{""beta"": 0.9, ""learning_rate"": 0.03, ""memory_coupling"": 0.003, ""metric_decay"": 0.99, ""metric_epsilon"": 1e-08, ""weight_decay"": 0.0001}"
hamiltonian_geometric,6,102,0.06181847962718635,"{""beta"": 0.9, ""learning_rate"": 0.03, ""memory_coupling"": 0.003, ""metric_decay"": 0.99, ""metric_epsilon"": 1e-08, ""weight_decay"": 0.0001}"
