optimizer,final_train_loss,final_test_loss,final_train_accuracy,final_test_accuracy,runtime_s
nesterov,0.195696076948,0.316235041714,0.95,0.906,1.88666860001
hamiltonian_geometric,0.235493327145,0.316863710272,0.94,0.91,0.844619799987
sgd,0.262586509789,0.318510144598,0.93325,0.909,1.0970598
entropy_descent,0.178225520458,0.328574883181,0.951,0.913,0.977247899995
adamw,0.171141653277,0.339279852899,0.95275,0.904,0.999009199993
heavy_ball,0.203082237065,0.339569824593,0.94075,0.898,0.943547999996
