x_m,y_m,potential_V
-0.04,-0.04,-1.08084936824
-0.039,-0.04,-1.10837195232
-0.038,-0.04,-1.13495677923
-0.037,-0.04,-1.16061524445
-0.036,-0.04,-1.18535857248
-0.035,-0.04,-1.20919779759
-0.034,-0.04,-1.23214374892
-0.033,-0.04,-1.25420703918
-0.032,-0.04,-1.2753980567
-0.031,-0.04,-1.29572696022
-0.03,-0.04,-1.31520367635
-0.029,-0.04,-1.33383789902
-0.028,-0.04,-1.35163909092
-0.027,-0.04,-1.36861648651
-0.026,-0.04,-1.38477909637
-0.025,-0.04,-1.40013571262
-0.024,-0.04,-1.41469491521
-0.023,-0.04,-1.42846507889
-0.022,-0.04,-1.44145438053
-0.021,-0.04,-1.45367080684
-0.02,-0.04,-1.46512216201
-0.019,-0.04,-1.47581607544
-0.018,-0.04,-1.4857600092
-0.017,-0.04,-1.49496126521
-0.016,-0.04,-1.50342699208
-0.015,-0.04,-1.51116419142
-0.014,-0.04,-1.51817972373
-0.013,-0.04,-1.52448031366
-0.012,-0.04,-1.53007255473
-0.011,-0.04,-1.53496291348
-0.01,-0.04,-1.53915773295
-0.009,-0.04,-1.54266323573
-0.008,-0.04,-1.54548552632
-0.007,-0.04,-1.54763059309
-0.006,-0.04,-1.54910430976
-0.005,-0.04,-1.54991243645
-0.004,-0.04,-1.55006062051
-0.003,-0.04,-1.54955439701
-0.002,-0.04,-1.54839918911
-0.001,-0.04,-1.54660030831
0,-0.04,-1.54416295467
0.001,-0.04,-1.54109221707
0.002,-0.04,-1.53739307351
0.003,-0.04,-1.53307039155
0.004,-0.04,-1.52812892877
0.005,-0.04,-1.52257333342
0.006,-0.04,-1.51640814515
0.007,-0.04,-1.50963779569
0.008,-0.04,-1.50226660966
0.009,-0.04,-1.49429880523
0.01,-0.04,-1.48573849467
0.011,-0.04,-1.47658968471
0.012,-0.04,-1.46685627667
0.013,-0.04,-1.45654206617
0.014,-0.04,-1.44565074252
0.015,-0.04,-1.43418588768
0.016,-0.04,-1.42215097467
0.017,-0.04,-1.40954936568
0.018,-0.04,-1.39638430961
0.019,-0.04,-1.38265893935
0.02,-0.04,-1.36837626889
0.021,-0.04,-1.35353919035
0.022,-0.04,-1.33815047126
0.023,-0.04,-1.3222127525
0.024,-0.04,-1.30572854703
0.025,-0.04,-1.28870024019
0.026,-0.04,-1.27113009164
0.027,-0.04,-1.25302023972
0.028,-0.04,-1.23437270826
0.029,-0.04,-1.21518941623
0.03,-0.04,-1.19547219
0.031,-0.04,-1.17522277782
0.032,-0.04,-1.15444286554
0.033,-0.04,-1.13313409204
0.034,-0.04,-1.11129806229
0.035,-0.04,-1.08893635504
0.036,-0.04,-1.06605052186
0.037,-0.04,-1.04264207341
0.038,-0.04,-1.01871244881
0.039,-0.04,-0.994262963818
0.04,-0.04,-0.969294733999
-0.04,-0.039,-1.04098265322
-0.039,-0.039,-1.06800324836
-0.038,-0.039,-1.09410466763
-0.037,-0.039,-1.11929810145
-0.036,-0.039,-1.14359458355
-0.035,-0.039,-1.16700497084
-0.034,-0.039,-1.1895399276
-0.033,-0.039,-1.21120991323
-0.032,-0.039,-1.23202517343
-0.031,-0.039,-1.25199573419
-0.03,-0.039,-1.27113139836
-0.029,-0.039,-1.28944174442
