step,optimizer,loss
1,sgd,20
1,adam,20
1,falling_ball,20
1,entropy_descent,20
1,hamiltonian_geometric,20
2,sgd,19.9999893613
2,adam,23.4032723952
2,falling_ball,19.9999893613
2,entropy_descent,19.898741357
2,hamiltonian_geometric,19.8987814584
3,sgd,19.9999808743
3,adam,26.6925664676
3,falling_ball,19.999974175
3,entropy_descent,19.8014262561
3,hamiltonian_geometric,19.7121965083
4,sgd,19.9999731578
4,adam,22.1026221351
4,falling_ball,19.9999561992
4,entropy_descent,19.7079002859
4,hamiltonian_geometric,19.4606586732
5,sgd,19.9999659528
5,adam,21.0876500175
5,falling_ball,19.9999355965
5,entropy_descent,19.6180151
5,hamiltonian_geometric,19.1668215188
6,sgd,19.9999591484
6,adam,23.353853317
6,falling_ball,19.9999146073
6,entropy_descent,19.531628179
6,hamiltonian_geometric,18.8534573627
7,sgd,19.9999526729
7,adam,21.7937399754
7,falling_ball,19.9998942653
7,entropy_descent,19.4486026001
7,hamiltonian_geometric,18.5416669557
8,sgd,19.9999464735
8,adam,20.3444822804
8,falling_ball,19.9998734804
8,entropy_descent,19.3688068177
8,hamiltonian_geometric,18.2495046256
9,sgd,19.9999405091
9,adam,21.4368747501
9,falling_ball,19.9998521013
9,entropy_descent,19.2921144514
9,hamiltonian_geometric,17.9910579024
10,sgd,19.999934747
10,adam,21.934636803
10,falling_ball,19.9998307011
10,entropy_descent,19.2184040825
10,hamiltonian_geometric,17.7759794534
11,sgd,19.9999291605
11,adam,20.8608734294
11,falling_ball,19.999808935
11,entropy_descent,19.1475590592
11,hamiltonian_geometric,17.6094347492
12,sgd,19.9999237276
12,adam,20.4161001443
12,falling_ball,19.9997864125
12,entropy_descent,19.0794673088
12,hamiltonian_geometric,17.4924028026
13,sgd,19.9999184301
13,adam,21.0863638778
13,falling_ball,19.9997636204
13,entropy_descent,19.0140211573
13,hamiltonian_geometric,17.4222502543
14,sgd,19.9999132525
14,adam,21.2169611634
14,falling_ball,19.9997410119
14,entropy_descent,18.9511171568
14,hamiltonian_geometric,17.3934908759
15,sgd,19.9999081821
15,adam,20.5355672924
15,falling_ball,19.9997184911
15,entropy_descent,18.8906559186
15,hamiltonian_geometric,17.3986424423
16,sgd,19.9999032077
16,adam,20.277098067
16,falling_ball,19.9996960314
16,entropy_descent,18.8325419544
16,hamiltonian_geometric,17.4290995915
17,sgd,19.99989832
17,adam,20.6702080553
17,falling_ball,19.9996738471
17,entropy_descent,18.776683522
17,hamiltonian_geometric,17.475953145
18,sgd,19.9998935109
18,adam,20.7340530417
18,falling_ball,19.9996519616
18,entropy_descent,18.7229924784
18,hamiltonian_geometric,17.5307016552
19,sgd,19.9998887734
19,adam,20.2938919649
19,falling_ball,19.9996301566
19,entropy_descent,18.6713841381
19,hamiltonian_geometric,17.5858179504
20,sgd,19.9998841016
20,adam,20.1472302357
20,falling_ball,19.9996083367
20,entropy_descent,18.6217771373
20,hamiltonian_geometric,17.6351505765
21,sgd,19.9998794901
21,adam,20.4757772367
21,falling_ball,19.9995865445
21,entropy_descent,18.574093303
21,hamiltonian_geometric,17.6741559569
22,sgd,19.9998749343
22,adam,20.5818709437
22,falling_ball,19.9995647496
22,entropy_descent,18.5282575276
22,hamiltonian_geometric,17.6999707641
23,sgd,19.9998704302
23,adam,20.26467793
23,falling_ball,19.9995429103
23,entropy_descent,18.4841976488
23,hamiltonian_geometric,17.7113447433
24,sgd,19.9998659742
24,adam,20.0841669234
24,falling_ball,19.9995211093
24,entropy_descent,18.4418443329
24,hamiltonian_geometric,17.7084616807
25,sgd,19.9998615632
25,adam,20.2508908035
25,falling_ball,19.9994994162
25,entropy_descent,18.4011309647
25,hamiltonian_geometric,17.6926803331
26,sgd,19.9998571942
26,adam,20.3296837378
26,falling_ball,19.9994777952
26,entropy_descent,18.3619935395
26,hamiltonian_geometric,17.6662281464
27,sgd,19.9998528648
27,adam,20.1504021464
27,falling_ball,19.9994562514
27,entropy_descent,18.3243705615
27,hamiltonian_geometric,17.63187891
28,sgd,19.9998485726
28,adam,20.0596446426
28,falling_ball,19.999434857
28,entropy_descent,18.2882029446
28,hamiltonian_geometric,17.5926416903
29,sgd,19.9998443156
29,adam,20.17465314
