optimizer,trial,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,runtime_s,hyperparameters
adamw,1,0.208485228856,0.215886400164,0.952222222222,0.956666666667,0.824335699988,"{'learning_rate': 0.003, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.0001}"
adamw,2,0.244136522049,0.251032458309,0.942222222222,0.95,0.959206799991,"{'learning_rate': 0.003, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.001}"
adamw,3,0.078845844381,0.105884195651,0.977777777778,0.98,0.776392899992,"{'learning_rate': 0.01, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.0001}"
adamw,4,0.138484215223,0.154197756653,0.966666666667,0.966666666667,0.893819499994,"{'learning_rate': 0.01, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.001}"
adamw,5,0.0426564069502,0.0626375164424,0.988888888889,0.99,0.801427300001,"{'learning_rate': 0.03, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.0001}"
adamw,6,0.128681643428,0.141671901805,0.963333333333,0.97,1.00217380001,"{'learning_rate': 0.03, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.001}"
nag,1,0.448669193571,0.459860031235,0.846666666667,0.83,1.00589799999,"{'learning_rate': 0.01, 'momentum': 0.85, 'weight_decay': 0.0001}"
nag,2,0.300527037665,0.311058068251,0.917777777778,0.923333333333,0.8246755,"{'learning_rate': 0.01, 'momentum': 0.9, 'weight_decay': 0.0001}"
nag,3,0.167707500312,0.181271759492,0.948888888889,0.956666666667,0.831708400001,"{'learning_rate': 0.03, 'momentum': 0.85, 'weight_decay': 0.0001}"
nag,4,0.129247567107,0.146205984251,0.963333333333,0.966666666667,0.827877599993,"{'learning_rate': 0.03, 'momentum': 0.9, 'weight_decay': 0.0001}"
nag,5,0.105937969937,0.125378657416,0.97,0.966666666667,0.822251699996,"{'learning_rate': 0.06, 'momentum': 0.85, 'weight_decay': 0.0001}"
nag,6,0.0800520148894,0.1006373441,0.981111111111,0.98,0.826506600002,"{'learning_rate': 0.06, 'momentum': 0.9, 'weight_decay': 0.0001}"
heavy_ball,1,0.449248454673,0.460371580125,0.845555555556,0.83,0.826848600002,"{'learning_rate': 0.01, 'momentum': 0.85, 'weight_decay': 0.0001}"
heavy_ball,2,0.301233434365,0.311629479462,0.917777777778,0.923333333333,0.882834299991,"{'learning_rate': 0.01, 'momentum': 0.9, 'weight_decay': 0.0001}"
heavy_ball,3,0.167859391632,0.181337164503,0.95,0.956666666667,1.2843364,"{'learning_rate': 0.03, 'momentum': 0.85, 'weight_decay': 0.0001}"
heavy_ball,4,0.129577760011,0.146428817614,0.964444444444,0.966666666667,1.5939559,"{'learning_rate': 0.03, 'momentum': 0.9, 'weight_decay': 0.0001}"
heavy_ball,5,0.106107184,0.125668853575,0.971111111111,0.966666666667,1.26922249999,"{'learning_rate': 0.06, 'momentum': 0.85, 'weight_decay': 0.0001}"
heavy_ball,6,0.08097725426,0.101469615189,0.978888888889,0.98,1.48044119999,"{'learning_rate': 0.06, 'momentum': 0.9, 'weight_decay': 0.0001}"
hamiltonian_geometric,1,0.0426562801637,0.0626351307593,0.988888888889,0.99,1.57178909999,"{'learning_rate': 0.03, 'beta': 0.9, 'memory_coupling': 0.001, 'metric_decay': 0.999, 'metric_epsilon': 1e-08, 'weight_decay': 0.0001}"
hamiltonian_geometric,2,0.0420579261036,0.0612065514696,0.986666666667,0.99,1.6497354,"{'learning_rate': 0.03, 'beta': 0.9, 'memory_coupling': 0.001, 'metric_decay': 0.995, 'metric_epsilon': 1e-08, 'weight_decay': 0.0001}"
hamiltonian_geometric,3,0.0417771289858,0.0616738232187,0.986666666667,0.99,1.7340769,"{'learning_rate': 0.03, 'beta': 0.9, 'memory_coupling': 0.001, 'metric_decay': 0.99, 'metric_epsilon': 1e-08, 'weight_decay': 0.0001}"
hamiltonian_geometric,4,0.0426570102021,0.0626314517221,0.99,0.99,1.8662173,"{'learning_rate': 0.03, 'beta': 0.9, 'memory_coupling': 0.003, 'metric_decay': 0.999, 'metric_epsilon': 1e-08, 'weight_decay': 0.0001}"
hamiltonian_geometric,5,0.0420956871431,0.0612364844534,0.986666666667,0.99,1.9271604,"{'learning_rate': 0.03, 'beta': 0.9, 'memory_coupling': 0.003, 'metric_decay': 0.995, 'metric_epsilon': 1e-08, 'weight_decay': 0.0001}"
hamiltonian_geometric,6,0.0418513714849,0.0617748801991,0.986666666667,0.99,1.45134850001,"{'learning_rate': 0.03, 'beta': 0.9, 'memory_coupling': 0.003, 'metric_decay': 0.99, 'metric_epsilon': 1e-08, 'weight_decay': 0.0001}"
