step,optimizer,loss
1,sgd,20
1,adam,20
1,falling_ball,20
1,entropy_descent,20
1,hamiltonian_geometric,20
2,sgd,19.9999871722
2,adam,23.5150492615
2,falling_ball,19.9999871722
2,entropy_descent,19.8994135983
2,hamiltonian_geometric,19.899453432
3,sgd,19.9999782143
3,adam,22.1660506587
3,falling_ball,19.9999720229
3,entropy_descent,19.8027579674
3,hamiltonian_geometric,19.7141329486
4,sgd,19.9999700298
4,adam,21.8329651796
4,falling_ball,19.9999532709
4,entropy_descent,19.7098783141
4,hamiltonian_geometric,19.4643569492
5,sgd,19.9999622071
5,adam,21.8452538412
5,falling_ball,19.9999292113
5,entropy_descent,19.6206259499
5,hamiltonian_geometric,19.1726707158
6,sgd,19.9999546149
6,adam,21.3855385018
6,falling_ball,19.9999029521
6,entropy_descent,19.5348580505
6,hamiltonian_geometric,18.8617269452
7,sgd,19.9999471923
7,adam,20.8286985756
7,falling_ball,19.9998748606
7,entropy_descent,19.452437424
7,hamiltonian_geometric,18.552497378
8,sgd,19.9999399038
8,adam,20.5785230723
8,falling_ball,19.9998449303
8,entropy_descent,19.3732322888
8,hamiltonian_geometric,18.2629005582
9,sgd,19.9999327253
9,adam,20.8954046901
9,falling_ball,19.9998135914
9,entropy_descent,19.2971160602
9,hamiltonian_geometric,18.0068850124
10,sgd,19.9999256393
10,adam,21.0346884432
10,falling_ball,19.9997803906
10,entropy_descent,19.2239671452
10,hamiltonian_geometric,17.793965698
11,sgd,19.9999186325
11,adam,20.7709206483
11,falling_ball,19.9997462289
11,entropy_descent,19.1536687454
11,hamiltonian_geometric,17.6291769407
12,sgd,19.9999116946
12,adam,20.5593371291
12,falling_ball,19.9997116291
12,entropy_descent,19.0861086681
12,hamiltonian_geometric,17.513378847
13,sgd,19.9999048174
13,adam,20.4645646398
13,falling_ball,19.999675923
13,entropy_descent,19.0211791445
13,hamiltonian_geometric,17.4438370097
14,sgd,19.9998979944
14,adam,20.3765264929
14,falling_ball,19.9996399584
14,entropy_descent,18.9587766548
14,hamiltonian_geometric,17.4149870944
15,sgd,19.99989122
15,adam,20.2786450575
15,falling_ball,19.9996046208
15,entropy_descent,18.8988017612
15,hamiltonian_geometric,17.4192958077
16,sgd,19.9998844901
16,adam,20.2652605002
16,falling_ball,19.9995692798
16,entropy_descent,18.8411589461
16,hamiltonian_geometric,17.4481364934
17,sgd,19.9998778011
17,adam,20.4082456882
17,falling_ball,19.9995337934
17,entropy_descent,18.785756458
17,hamiltonian_geometric,17.492609576
18,sgd,19.9998711499
18,adam,20.49190758
18,falling_ball,19.9994986448
18,entropy_descent,18.7325061625
18,hamiltonian_geometric,17.5442535017
19,sgd,19.9998645343
19,adam,20.3716406226
19,falling_ball,19.9994638638
19,entropy_descent,18.6813233999
19,hamiltonian_geometric,17.5956089736
20,sgd,19.999857952
20,adam,20.2129507464
20,falling_ball,19.9994293789
20,entropy_descent,18.6321268479
20,hamiltonian_geometric,17.64061654
21,sgd,19.9998514015
21,adam,20.1388594183
21,falling_ball,19.9993951818
21,entropy_descent,18.5848383901
21,hamiltonian_geometric,17.6748436326
22,sgd,19.9998448812
22,adam,20.1352496216
22,falling_ball,19.9993612985
22,entropy_descent,18.5393829892
22,hamiltonian_geometric,17.695550905
23,sgd,19.99983839
23,adam,20.1519589619
23,falling_ball,19.9993278605
23,entropy_descent,18.4956885661
23,hamiltonian_geometric,17.7016185259
24,sgd,19.9998319267
24,adam,20.1598492875
24,falling_ball,19.99929483
24,entropy_descent,18.4536858825
24,hamiltonian_geometric,17.6933605439
25,sgd,19.9998254905
25,adam,20.182904113
25,falling_ball,19.9992621449
25,entropy_descent,18.4133084293
25,hamiltonian_geometric,17.6722595558
26,sgd,19.9998190806
26,adam,20.1923915205
26,falling_ball,19.9992299185
26,entropy_descent,18.3744923188
26,hamiltonian_geometric,17.6406548659
27,sgd,19.9998126962
27,adam,20.1390775396
27,falling_ball,19.9991981201
27,entropy_descent,18.3371761813
27,hamiltonian_geometric,17.6014155832
28,sgd,19.9998063369
28,adam,20.0789258369
28,falling_ball,19.9991666327
28,entropy_descent,18.3013010657
28,hamiltonian_geometric,17.5576262076
29,sgd,19.9998000019
29,adam,20.062116171
