step,optimizer,loss
38,adam,20.0236822493
38,falling_ball,19.9991492607
38,entropy_descent,17.9598601239
38,hamiltonian_geometric,17.1922838504
39,sgd,19.9997894019
39,adam,20.0140072176
39,falling_ball,19.9991271624
39,entropy_descent,17.9357049192
39,hamiltonian_geometric,17.1960627455
40,sgd,19.9997850037
40,adam,20.0096765043
40,falling_ball,19.9991051911
40,entropy_descent,17.9124566786
40,hamiltonian_geometric,17.2016640919
41,sgd,19.9997806259
41,adam,20.0148056855
41,falling_ball,19.9990833255
41,entropy_descent,17.8900799078
41,hamiltonian_geometric,17.2079358772
42,sgd,19.9997762677
42,adam,20.0090280282
42,falling_ball,19.9990615548
42,entropy_descent,17.8685405125
42,hamiltonian_geometric,17.2138925769
43,sgd,19.9997719284
43,adam,20.0010272733
43,falling_ball,19.9990398845
43,entropy_descent,17.8478057433
43,hamiltonian_geometric,17.2187616531
44,sgd,19.9997676074
44,adam,20.0031498204
44,falling_ball,19.9990183215
44,entropy_descent,17.8278441423
44,hamiltonian_geometric,17.2220063781
45,sgd,19.9997633041
45,adam,20.0109685542
45,falling_ball,19.9989968497
45,entropy_descent,17.8086254923
45,hamiltonian_geometric,17.223327005
46,sgd,19.9997590179
46,adam,20.00884124
46,falling_ball,19.998975459
46,entropy_descent,17.7901207673
46,hamiltonian_geometric,17.2226436542
47,sgd,19.9997547483
47,adam,19.9968269305
47,falling_ball,19.9989541554
47,entropy_descent,17.7723020863
47,hamiltonian_geometric,17.2200651582
48,sgd,19.9997504947
48,adam,19.9957935767
48,falling_ball,19.9989329396
48,entropy_descent,17.7551426672
48,hamiltonian_geometric,17.2158485092
49,sgd,19.9997462567
49,adam,20.0017149816
49,falling_ball,19.9989118039
49,entropy_descent,17.7386167838
49,hamiltonian_geometric,17.210353535
50,sgd,19.9997420339
50,adam,20.0019445899
50,falling_ball,19.9988907407
50,entropy_descent,17.7226997242
50,hamiltonian_geometric,17.2039970574
51,sgd,19.9997378258
51,adam,19.9953816235
51,falling_ball,19.9988697519
51,entropy_descent,17.7073677503
51,hamiltonian_geometric,17.197210142
52,sgd,19.9997336319
52,adam,19.9920600072
52,falling_ball,19.9988488377
52,entropy_descent,17.6925980598
52,hamiltonian_geometric,17.1904012342
53,sgd,19.9997294519
53,adam,19.9962009421
53,falling_ball,19.9988279926
53,entropy_descent,17.6783687489
53,hamiltonian_geometric,17.1839270718
54,sgd,19.9997252855
54,adam,19.9972386121
54,falling_ball,19.9988072134
54,entropy_descent,17.6646587769
54,hamiltonian_geometric,17.1780723624
55,sgd,19.9997211322
55,adam,19.9939772508
55,falling_ball,19.9987864994
55,entropy_descent,17.6514479321
55,hamiltonian_geometric,17.1730383797
56,sgd,19.9997169918
56,adam,19.9911920421
56,falling_ball,19.99876585
56,entropy_descent,17.6387167993
56,hamiltonian_geometric,17.168939919
57,sgd,19.9997128639
57,adam,19.9926070702
57,falling_ball,19.9987452621
57,entropy_descent,17.6264467278
57,hamiltonian_geometric,17.1658094974
58,sgd,19.9997087482
58,adam,19.9937493099
58,falling_ball,19.9987247335
58,entropy_descent,17.6146198017
58,hamiltonian_geometric,17.1636073068
59,sgd,19.9997046444
59,adam,19.9926413764
59,falling_ball,19.9987042635
59,entropy_descent,17.6032188107
59,hamiltonian_geometric,17.1622352187
60,sgd,19.9997005522
60,adam,19.9920614189
60,falling_ball,19.998683851
60,entropy_descent,17.5922272222
60,hamiltonian_geometric,17.1615531068
61,sgd,19.9996964715
61,adam,19.9909556159
61,falling_ball,19.9986634943
61,entropy_descent,17.5816291544
61,hamiltonian_geometric,17.1613958467
62,sgd,19.9996924019
62,adam,19.9899764313
62,falling_ball,19.9986431915
62,entropy_descent,17.5714093511
62,hamiltonian_geometric,17.16158957
63,sgd,19.9996883431
63,adam,19.9900873282
63,falling_ball,19.9986229419
63,entropy_descent,17.5615531562
63,hamiltonian_geometric,17.1619660299
64,sgd,19.9996842951
64,adam,19.9913006718
64,falling_ball,19.9986027447
64,entropy_descent,17.5520464909
64,hamiltonian_geometric,17.1623742715
65,sgd,19.9996802575
65,adam,19.9903752455
65,falling_ball,19.9985825985
65,entropy_descent,17.5428758301
65,hamiltonian_geometric,17.1626891312
66,sgd,19.9996762301
66,adam,19.9889964797
66,falling_ball,19.998562502
66,entropy_descent,17.534028181
66,hamiltonian_geometric,17.1628164185
67,sgd,19.9996722127
67,adam,19.9891743185
67,falling_ball,19.9985424543
67,entropy_descent,17.525491062
67,hamiltonian_geometric,17.1626949054
68,sgd,19.9996682052
68,adam,19.989662208
68,falling_ball,19.9985224549
68,entropy_descent,17.5172524824
68,hamiltonian_geometric,17.1622954824
69,sgd,19.9996642073
69,adam,19.9888529589
69,falling_ball,19.9985025027
69,entropy_descent,17.5093009233
69,hamiltonian_geometric,17.1616179971
70,sgd,19.9996602188
70,adam,19.9880320064
70,falling_ball,19.9984825967
70,entropy_descent,17.5016253184
70,hamiltonian_geometric,17.1606863887
71,sgd,19.9996562397
71,adam,19.9885300054
71,falling_ball,19.9984627361
71,entropy_descent,17.4942150367
71,hamiltonian_geometric,17.1595427658
72,sgd,19.9996522697
72,adam,19.9886950009
72,falling_ball,19.9984429205
72,entropy_descent,17.4870598653
72,hamiltonian_geometric,17.1582410525
73,sgd,19.9996483087
73,adam,19.9879415029
73,falling_ball,19.9984231491
73,entropy_descent,17.4801499922
73,hamiltonian_geometric,17.1568407596
74,sgd,19.9996443565
74,adam,19.9874047087
74,falling_ball,19.998403421
74,entropy_descent,17.4734759915
74,hamiltonian_geometric,17.1554013416
75,sgd,19.9996404129
75,adam,19.9878583677
75,falling_ball,19.9983837357
75,entropy_descent,17.4670288074
75,hamiltonian_geometric,17.1539774778
76,sgd,19.9996364779
76,adam,19.9877870258
76,falling_ball,19.9983640927
76,entropy_descent,17.4607997396
76,hamiltonian_geometric,17.1526154932
