x_m,y_m,potential_V
-0.04,-0.04,-0.889582568874
-0.039,-0.04,-0.934021778483
-0.038,-0.04,-0.97741691857
-0.037,-0.04,-1.01976867629
-0.036,-0.04,-1.06107757791
-0.035,-0.04,-1.1013439742
-0.034,-0.04,-1.14056802751
-0.033,-0.04,-1.17874970037
-0.032,-0.04,-1.21588874536
-0.031,-0.04,-1.25198469626
-0.03,-0.04,-1.2870368602
-0.029,-0.04,-1.3210443107
-0.028,-0.04,-1.35400588161
-0.027,-0.04,-1.38592016166
-0.026,-0.04,-1.41678548964
-0.025,-0.04,-1.44659995028
-0.024,-0.04,-1.47536137049
-0.023,-0.04,-1.50306731622
-0.022,-0.04,-1.52971508982
-0.021,-0.04,-1.55530172782
-0.02,-0.04,-1.57982399931
-0.019,-0.04,-1.60327840472
-0.018,-0.04,-1.62566117519
-0.017,-0.04,-1.64696827244
-0.016,-0.04,-1.66719538912
-0.015,-0.04,-1.68633794969
-0.014,-0.04,-1.70439111176
-0.013,-0.04,-1.72134976789
-0.012,-0.04,-1.73720854767
-0.011,-0.04,-1.75196182011
-0.01,-0.04,-1.76560369619
-0.009,-0.04,-1.77812803137
-0.008,-0.04,-1.78952842796
-0.007,-0.04,-1.79979823714
-0.006,-0.04,-1.80893056053
-0.005,-0.04,-1.81691825107
-0.004,-0.04,-1.82375391304
-0.003,-0.04,-1.82942990122
-0.002,-0.04,-1.83393831906
-0.001,-0.04,-1.8372710158
0,-0.04,-1.83941958271
0.001,-0.04,-1.84037534837
0.002,-0.04,-1.84012937333
0.003,-0.04,-1.83867244426
0.004,-0.04,-1.83599506777
0.005,-0.04,-1.83208746434
0.006,-0.04,-1.82693956236
0.007,-0.04,-1.82054099282
0.008,-0.04,-1.81288108464
0.009,-0.04,-1.80394886097
0.01,-0.04,-1.79373303658
0.011,-0.04,-1.78222201644
0.012,-0.04,-1.76940389551
0.013,-0.04,-1.75526645982
0.014,-0.04,-1.73979718873
0.015,-0.04,-1.72298325824
0.016,-0.04,-1.70481154532
0.017,-0.04,-1.68526863298
0.018,-0.04,-1.66434081594
0.019,-0.04,-1.64201410673
0.02,-0.04,-1.61827424196
0.021,-0.04,-1.59310668869
0.022,-0.04,-1.56649665064
0.023,-0.04,-1.53842907436
0.024,-0.04,-1.50888865518
0.025,-0.04,-1.47785984305
0.026,-0.04,-1.44532684853
0.027,-0.04,-1.41127364888
0.028,-0.04,-1.37568399478
0.029,-0.04,-1.33854141784
0.03,-0.04,-1.29982923935
0.031,-0.04,-1.25953058068
0.032,-0.04,-1.21762837586
0.033,-0.04,-1.17410538675
0.034,-0.04,-1.12894422151
0.035,-0.04,-1.08212735681
0.036,-0.04,-1.03363716459
0.037,-0.04,-0.983455943925
0.038,-0.04,-0.931565958758
0.039,-0.04,-0.87794948233
0.04,-0.04,-0.822588849037
-0.04,-0.039,-0.850583397593
-0.039,-0.039,-0.894063924445
-0.038,-0.039,-0.93651810009
-0.037,-0.039,-0.977946763508
-0.036,-0.039,-1.01835058868
-0.035,-0.039,-1.05773007038
-0.034,-0.039,-1.09608551166
-0.033,-0.039,-1.13341701295
-0.032,-0.039,-1.16972446257
-0.031,-0.039,-1.20500752844
-0.03,-0.039,-1.23926565101
-0.029,-0.039,-1.27249803698
-0.028,-0.039,-1.30470365401
-0.027,-0.039,-1.335881226
-0.026,-0.039,-1.36602922903
-0.025,-0.039,-1.39514588789
-0.024,-0.039,-1.423229173
-0.023,-0.039,-1.45027679787
-0.022,-0.039,-1.47628621686
-0.021,-0.039,-1.50125462351
-0.02,-0.039,-1.52517894912
-0.019,-0.039,-1.54805586181
-0.018,-0.039,-1.56988176606
-0.017,-0.039,-1.59065280257
-0.016,-0.039,-1.61036484863
-0.015,-0.039,-1.62901351891
-0.014,-0.039,-1.6465941667
-0.013,-0.039,-1.66310188543
-0.012,-0.039,-1.67853151065
-0.011,-0.039,-1.69287762219
-0.01,-0.039,-1.70613454637
-0.009,-0.039,-1.71829635839
-0.008,-0.039,-1.72935688436
-0.007,-0.039,-1.73930970316
-0.006,-0.039,-1.7481481477
-0.005,-0.039,-1.75586530561
-0.004,-0.039,-1.76245401906
-0.003,-0.039,-1.76790688382
-0.002,-0.039,-1.77221624725
-0.001,-0.039,-1.77537420543
0,-0.039,-1.77737259948
0.001,-0.039,-1.77820301099
0.002,-0.039,-1.77785675696
0.003,-0.039,-1.77632488437
0.004,-0.039,-1.77359816452
0.005,-0.039,-1.76966708758
0.006,-0.039,-1.76452185742
0.007,-0.039,-1.75815238703
0.008,-0.039,-1.75054829473
0.009,-0.039,-1.74169890132
0.01,-0.039,-1.7315932283
0.011,-0.039,-1.72021999726
0.012,-0.039,-1.70756763036
0.013,-0.039,-1.69362425205
0.014,-0.039,-1.67837769181
0.015,-0.039,-1.66181548792
0.016,-0.039,-1.64392489199
0.017,-0.039,-1.62469287425
0.018,-0.039,-1.60410612926
0.019,-0.039,-1.58215108194
0.02,-0.039,-1.55881389375
0.021,-0.039,-1.53408046875
0.022,-0.039,-1.50793645967
0.023,-0.039,-1.48036727366
0.024,-0.039,-1.45135807788
0.025,-0.039,-1.42089380505
0.026,-0.039,-1.38895915891
0.027,-0.039,-1.35553861995
0.028,-0.039,-1.32061645169
0.029,-0.039,-1.28417670768
0.03,-0.039,-1.24620323977
0.031,-0.039,-1.20667970798
0.032,-0.039,-1.16558959248
0.033,-0.039,-1.12291620809
0.034,-0.039,-1.07864272203
0.035,-0.039,-1.03275217531
0.036,-0.039,-0.985227508519
0.037,-0.039,-0.936051592599
0.038,-0.039,-0.885207265397
0.039,-0.039,-0.83267737466
0.04,-0.039,-0.778444828337
-0.04,-0.038,-0.812615192932
-0.039,-0.038,-0.855135267734
-0.038,-0.038,-0.896647006951
-0.037,-0.038,-0.93715139609
-0.036,-0.038,-0.976649251763
-0.035,-0.038,-1.01514120788
-0.034,-0.038,-1.05262770362
-0.033,-0.038,-1.08910897312
-0.032,-0.038,-1.12458503652
-0.031,-0.038,-1.15905569248
-0.03,-0.038,-1.1925205117
-0.029,-0.038,-1.22497883147
-0.028,-0.038,-1.25642975109
-0.027,-0.038,-1.28687212788
-0.026,-0.038,-1.31630457389
-0.025,-0.038,-1.34472545303
-0.024,-0.038,-1.37213287867
-0.023,-0.038,-1.39852471154
-0.022,-0.038,-1.42389855809
-0.021,-0.038,-1.44825176902
-0.02,-0.038,-1.47158143827
-0.019,-0.038,-1.49388440223
-0.018,-0.038,-1.51515723931
-0.017,-0.038,-1.53539626993
-0.016,-0.038,-1.55459755678
-0.015,-0.038,-1.57275690551
-0.014,-0.038,-1.58986986583
-0.013,-0.038,-1.60593173287
-0.012,-0.038,-1.62093754892
-0.011,-0.038,-1.63488210534
-0.01,-0.038,-1.64775994458
-0.009,-0.038,-1.65956536227
-0.008,-0.038,-1.67029240902
-0.007,-0.038,-1.67993489202
-0.006,-0.038,-1.68848637607
-0.005,-0.038,-1.69594018404
-0.004,-0.038,-1.70228939651
-0.003,-0.038,-1.70752685066
-0.002,-0.038,-1.7116451382
-0.001,-0.038,-1.71463660256
0,-0.038,-1.71649333519
0.001,-0.038,-1.71720717132
0.002,-0.038,-1.71676968521
0.003,-0.038,-1.71517218509
0.004,-0.038,-1.71240570819
0.005,-0.038,-1.70846101582
0.006,-0.038,-1.703328589
0.007,-0.038,-1.69699862465
0.008,-0.038,-1.68946103255
0.009,-0.038,-1.68070543335
0.01,-0.038,-1.67072115745
0.011,-0.038,-1.65949724509
0.012,-0.038,-1.64702244743
0.013,-0.038,-1.63328522876
0.014,-0.038,-1.61827376961
0.015,-0.038,-1.60197597077
0.016,-0.038,-1.58437945799
0.017,-0.038,-1.56547158733
0.018,-0.038,-1.54523945081
0.019,-0.038,-1.52366988231
0.02,-0.038,-1.50074946355
0.021,-0.038,-1.47646452994
0.022,-0.038,-1.45080117624
0.023,-0.038,-1.42374526211
0.024,-0.038,-1.39528241727
0.025,-0.038,-1.36539804667
0.026,-0.038,-1.3340773356
0.027,-0.038,-1.30130525505
0.028,-0.038,-1.26706656751
0.029,-0.038,-1.23134583365
0.03,-0.038,-1.19412742006
0.031,-0.038,-1.15539550871
0.032,-0.038,-1.11513410832
0.033,-0.038,-1.07332706835
0.034,-0.038,-1.02995809605
0.035,-0.038,-0.98501077706
0.036,-0.038,-0.938468600321
0.037,-0.038,-0.890314987873
0.038,-0.038,-0.840533330201
0.039,-0.038,-0.789107027925
0.04,-0.038,-0.736019540582
-0.04,-0.037,-0.775658857256
