optimizer,final_train_loss,final_test_loss,final_train_accuracy,final_test_accuracy,runtime_s
hamiltonian_geometric,0.252319032397,0.343982713472,0.932,0.895,0.963488499998
sgd,0.290941123322,0.345864588199,0.91975,0.902,0.796697600003
nesterov,0.212082262491,0.35312618938,0.94325,0.9,1.30348060001
heavy_ball,0.206460415353,0.363764916896,0.94325,0.898,0.807610399992
adamw,0.178453723079,0.374747554591,0.953,0.894,1.00607250001
entropy_descent,0.245849523825,0.433452193421,0.9235,0.876,1.0249319
