optimizer,trial,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,runtime_s,hyperparameters
adamw,1,0.176793536868,0.187352160097,0.951111111111,0.95,1.1142042,"{'learning_rate': 0.003, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.0001}"
adamw,2,0.216484179773,0.22420095778,0.942222222222,0.946666666667,1.06880010001,"{'learning_rate': 0.003, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.001}"
adamw,3,0.0616481163467,0.0892630938931,0.992222222222,0.976666666667,1.10268340001,"{'learning_rate': 0.01, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.0001}"
adamw,4,0.126584409809,0.146132224582,0.968888888889,0.96,0.9329555,"{'learning_rate': 0.01, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.001}"
adamw,5,0.0269059308041,0.047775547018,0.998888888889,0.993333333333,1.28308959999,"{'learning_rate': 0.03, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.0001}"
adamw,6,0.10584127325,0.13022341782,0.98,0.97,0.9462184,"{'learning_rate': 0.03, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.001}"
nag,1,0.476383056091,0.487044089056,0.821111111111,0.81,0.921584599986,"{'learning_rate': 0.01, 'momentum': 0.85, 'weight_decay': 0.0001}"
nag,2,0.337933199418,0.34510592562,0.901111111111,0.91,0.899204600006,"{'learning_rate': 0.01, 'momentum': 0.9, 'weight_decay': 0.0001}"
nag,3,0.166361311216,0.174427009391,0.952222222222,0.95,0.972906499999,"{'learning_rate': 0.03, 'momentum': 0.85, 'weight_decay': 0.0001}"
nag,4,0.119053422273,0.13124026332,0.963333333333,0.953333333333,0.941095500006,"{'learning_rate': 0.03, 'momentum': 0.9, 'weight_decay': 0.0001}"
nag,5,0.0938285140887,0.109187086505,0.972222222222,0.96,0.995884199991,"{'learning_rate': 0.06, 'momentum': 0.85, 'weight_decay': 0.0001}"
nag,6,0.0662414995839,0.084290791259,0.981111111111,0.976666666667,1.02385780001,"{'learning_rate': 0.06, 'momentum': 0.9, 'weight_decay': 0.0001}"
heavy_ball,1,0.476716114099,0.487376729393,0.818888888889,0.806666666667,0.978739700004,"{'learning_rate': 0.01, 'momentum': 0.85, 'weight_decay': 0.0001}"
heavy_ball,2,0.338459776985,0.345606188135,0.9,0.906666666667,1.0181107,"{'learning_rate': 0.01, 'momentum': 0.9, 'weight_decay': 0.0001}"
heavy_ball,3,0.166841411192,0.174687947525,0.952222222222,0.95,0.928371000002,"{'learning_rate': 0.03, 'momentum': 0.85, 'weight_decay': 0.0001}"
heavy_ball,4,0.119431404191,0.131230441299,0.963333333333,0.953333333333,0.965734199999,"{'learning_rate': 0.03, 'momentum': 0.9, 'weight_decay': 0.0001}"
heavy_ball,5,0.0943645763045,0.109235104448,0.971111111111,0.96,0.937700099996,"{'learning_rate': 0.06, 'momentum': 0.85, 'weight_decay': 0.0001}"
heavy_ball,6,0.0676070006287,0.0848794337147,0.98,0.976666666667,0.910518200006,"{'learning_rate': 0.06, 'momentum': 0.9, 'weight_decay': 0.0001}"
hamiltonian_geometric,1,0.0269422650294,0.0478415955624,0.998888888889,0.993333333333,1.1033497,"{'learning_rate': 0.03, 'beta': 0.9, 'memory_coupling': 0.001, 'metric_decay': 0.999, 'metric_epsilon': 1e-08, 'weight_decay': 0.0001}"
hamiltonian_geometric,2,0.0230772241287,0.0416537383648,0.997777777778,0.993333333333,0.989856200002,"{'learning_rate': 0.03, 'beta': 0.9, 'memory_coupling': 0.001, 'metric_decay': 0.995, 'metric_epsilon': 1e-08, 'weight_decay': 0.0001}"
hamiltonian_geometric,3,0.0221242296248,0.0402668273809,0.997777777778,0.993333333333,1.1009263,"{'learning_rate': 0.03, 'beta': 0.9, 'memory_coupling': 0.001, 'metric_decay': 0.99, 'metric_epsilon': 1e-08, 'weight_decay': 0.0001}"
hamiltonian_geometric,4,0.0270161277029,0.0479756069612,0.998888888889,0.993333333333,1.0136951,"{'learning_rate': 0.03, 'beta': 0.9, 'memory_coupling': 0.003, 'metric_decay': 0.999, 'metric_epsilon': 1e-08, 'weight_decay': 0.0001}"
hamiltonian_geometric,5,0.0231131022539,0.0417190701349,0.997777777778,0.993333333333,1.0507512,"{'learning_rate': 0.03, 'beta': 0.9, 'memory_coupling': 0.003, 'metric_decay': 0.995, 'metric_epsilon': 1e-08, 'weight_decay': 0.0001}"
hamiltonian_geometric,6,0.02214932808,0.0403033870445,0.997777777778,0.993333333333,1.0607724,"{'learning_rate': 0.03, 'beta': 0.9, 'memory_coupling': 0.003, 'metric_decay': 0.99, 'metric_epsilon': 1e-08, 'weight_decay': 0.0001}"
