optimizer,final_train_loss,final_test_loss,final_train_accuracy,final_test_accuracy,runtime_s
sgd,0.267895502948,0.374172612519,0.9275,0.889,0.726255499991
hamiltonian_geometric,0.238476852112,0.376310953942,0.93225,0.893,0.860531800005
nesterov,0.197251326788,0.389143726159,0.9435,0.898,1.5912389
adamw,0.155189019612,0.395760064546,0.96225,0.897,0.931925199999
heavy_ball,0.196124139479,0.403077334998,0.94225,0.895,0.663139199998
entropy_descent,0.185785336118,0.432963416192,0.94975,0.888,0.966576900013
