epoch,optimizer,train_loss,test_loss,train_accuracy,test_accuracy
1,sgd,0.556571231105,0.541908554059,0.855,0.853
2,sgd,0.444817067773,0.440580684308,0.883,0.891
3,sgd,0.410668927759,0.418371388552,0.88975,0.881
4,sgd,0.369897351314,0.388657280455,0.89875,0.892
5,sgd,0.352877813571,0.372915250668,0.90425,0.891
6,sgd,0.33438445214,0.362096855855,0.9105,0.9
7,sgd,0.318049488486,0.353305917104,0.91475,0.902
8,sgd,0.307353577226,0.344220581782,0.9185,0.907
9,sgd,0.300073050198,0.344549713508,0.91575,0.9
10,sgd,0.300298383834,0.352999479907,0.918,0.905
11,sgd,0.282507009037,0.340826864691,0.92075,0.905
12,sgd,0.276347746101,0.339641591469,0.92375,0.9
1,heavy_ball,0.424040170596,0.419328040037,0.8745,0.878
2,heavy_ball,0.335523607002,0.371211707579,0.9015,0.886
3,heavy_ball,0.304848201963,0.361155761752,0.916,0.897
4,heavy_ball,0.302276473387,0.367272663763,0.91025,0.883
5,heavy_ball,0.294815143599,0.353064476455,0.91175,0.893
6,heavy_ball,0.253286213328,0.350273675154,0.92625,0.9
7,heavy_ball,0.241072009716,0.348179658294,0.93125,0.9
8,heavy_ball,0.231738233344,0.337716914257,0.9345,0.908
9,heavy_ball,0.230833280042,0.356308739172,0.92925,0.898
10,heavy_ball,0.219647691998,0.349379299896,0.9345,0.903
11,heavy_ball,0.204655613888,0.331999270941,0.9405,0.91
12,heavy_ball,0.19985713387,0.346324422503,0.93925,0.908
1,nesterov,0.413168748287,0.404658765059,0.87975,0.882
2,nesterov,0.337715390339,0.366671503239,0.90425,0.883
3,nesterov,0.302909020471,0.354730725889,0.919,0.903
4,nesterov,0.290438654296,0.346974647887,0.918,0.899
5,nesterov,0.271443683721,0.330305541141,0.92525,0.899
6,nesterov,0.252492197795,0.339370479378,0.92975,0.906
7,nesterov,0.241600872859,0.337093373988,0.935,0.902
8,nesterov,0.230567326461,0.331913175023,0.93775,0.912
9,nesterov,0.225054793815,0.336473051651,0.9345,0.911
10,nesterov,0.216502802522,0.336543105137,0.9385,0.905
11,nesterov,0.206834117668,0.327262341943,0.942,0.915
12,nesterov,0.201512034454,0.335691104633,0.94175,0.915
1,adamw,0.421783029671,0.412830847656,0.873,0.876
2,adamw,0.331387982179,0.368002823991,0.9075,0.892
3,adamw,0.286921868637,0.355660290732,0.92425,0.901
4,adamw,0.261385504144,0.339365420125,0.923,0.899
5,adamw,0.248416544889,0.327809006458,0.92775,0.908
6,adamw,0.226753549837,0.340441289554,0.9365,0.903
7,adamw,0.209919492628,0.333528491084,0.94375,0.909
8,adamw,0.198381479602,0.334260016176,0.94475,0.913
9,adamw,0.195716241671,0.343619427397,0.942,0.905
10,adamw,0.187369803905,0.348548768529,0.95,0.903
11,adamw,0.16914764988,0.331314122205,0.95125,0.905
12,adamw,0.166740705814,0.34315976902,0.952,0.904
1,entropy_descent,0.45506246753,0.456854666505,0.8705,0.869
2,entropy_descent,0.40556127232,0.443782356065,0.883,0.869
3,entropy_descent,0.49839487355,0.574439659638,0.857,0.836
4,entropy_descent,0.514677049704,0.604463673748,0.86075,0.845
5,entropy_descent,0.307008034596,0.401572949754,0.909,0.882
6,entropy_descent,0.502167028213,0.654434858852,0.84625,0.813
7,entropy_descent,0.291536179092,0.439107346742,0.90925,0.866
8,entropy_descent,0.2380137409,0.368651573867,0.9275,0.893
9,entropy_descent,0.231178773241,0.374347815281,0.9285,0.898
10,entropy_descent,0.258221923903,0.429620474126,0.916,0.878
11,entropy_descent,0.253887720825,0.447117297039,0.92175,0.87
12,entropy_descent,0.224689935683,0.419439121011,0.93375,0.889
1,hamiltonian_geometric,0.477005548685,0.448870555893,0.858,0.86
2,hamiltonian_geometric,0.392483674198,0.396158421802,0.8895,0.875
3,hamiltonian_geometric,0.348925711469,0.374290271094,0.90225,0.891
4,hamiltonian_geometric,0.326656602787,0.357281471275,0.90775,0.896
5,hamiltonian_geometric,0.305417235454,0.336879078732,0.913,0.902
6,hamiltonian_geometric,0.289609049061,0.338681797203,0.921,0.906
7,hamiltonian_geometric,0.282918427485,0.342581633543,0.92125,0.906
8,hamiltonian_geometric,0.269958343705,0.3367636009,0.92575,0.904
9,hamiltonian_geometric,0.26774823478,0.339483434672,0.924,0.906
10,hamiltonian_geometric,0.259948826807,0.334712029019,0.927,0.907
11,hamiltonian_geometric,0.244852072473,0.326431660521,0.93225,0.911
12,hamiltonian_geometric,0.242182002532,0.330294580049,0.93275,0.909
