epoch,optimizer,train_loss,test_loss,train_accuracy,test_accuracy
1,sgd,0.54178897447,0.557772223463,0.861,0.861
2,sgd,0.42950027637,0.456485081686,0.8895,0.884
3,sgd,0.387012791766,0.414454375429,0.89675,0.895
4,sgd,0.354274469483,0.393515912664,0.9125,0.894
5,sgd,0.332006678149,0.379888705906,0.914,0.892
6,sgd,0.317851123997,0.375391497399,0.91775,0.894
7,sgd,0.310720346439,0.364668129737,0.919,0.893
8,sgd,0.298294218213,0.352611161371,0.92225,0.897
9,sgd,0.288012477061,0.354748130547,0.92525,0.897
10,sgd,0.278698919944,0.353439579454,0.92625,0.895
11,sgd,0.273286051677,0.353211733841,0.928,0.896
12,sgd,0.269228710864,0.347661028813,0.9295,0.902
1,heavy_ball,0.396330644625,0.434670412385,0.88225,0.877
2,heavy_ball,0.34018667896,0.397790120974,0.90975,0.891
3,heavy_ball,0.287142915966,0.354561711749,0.921,0.906
4,heavy_ball,0.270862752583,0.353181452819,0.93025,0.901
5,heavy_ball,0.257526579149,0.355644099241,0.93,0.901
6,heavy_ball,0.253593773021,0.37182273568,0.93125,0.887
7,heavy_ball,0.240388090846,0.374278412707,0.93175,0.889
8,heavy_ball,0.229742399234,0.345935045511,0.93975,0.901
9,heavy_ball,0.21144697354,0.351616484434,0.943,0.894
10,heavy_ball,0.206213347163,0.354247790652,0.94575,0.89
11,heavy_ball,0.195233806734,0.349467860435,0.95,0.888
12,heavy_ball,0.196289571765,0.362086094701,0.948,0.884
1,nesterov,0.392648776341,0.428247205774,0.8865,0.878
2,nesterov,0.333892184977,0.387769863144,0.91025,0.888
3,nesterov,0.291828025717,0.352681853276,0.92425,0.903
4,nesterov,0.275704984506,0.3506253045,0.93025,0.909
5,nesterov,0.255909855459,0.34451443113,0.93225,0.902
6,nesterov,0.246982583291,0.352913805609,0.93725,0.89
7,nesterov,0.235922613738,0.352158281952,0.934,0.893
8,nesterov,0.232614219123,0.340796651776,0.93825,0.901
9,nesterov,0.217392606635,0.344798537209,0.9415,0.895
10,nesterov,0.208530430201,0.346397352078,0.94675,0.893
11,nesterov,0.199407362055,0.346658489656,0.95025,0.888
12,nesterov,0.195841261059,0.350626588122,0.9515,0.892
1,adamw,0.399157532979,0.45010347973,0.885,0.878
2,adamw,0.316348116479,0.375003643925,0.91225,0.902
3,adamw,0.278961275828,0.363231131067,0.92375,0.902
4,adamw,0.252138757495,0.351168098918,0.9325,0.901
5,adamw,0.226594457405,0.343401962444,0.943,0.907
6,adamw,0.21152876661,0.351362659241,0.9475,0.899
7,adamw,0.209981530121,0.374314123577,0.94375,0.89
8,adamw,0.200604539585,0.346439481649,0.95025,0.899
9,adamw,0.18287205522,0.352529074073,0.95075,0.896
10,adamw,0.17255301862,0.358164735017,0.957,0.89
11,adamw,0.167133234765,0.369199183262,0.9575,0.888
12,adamw,0.157533454007,0.370886153545,0.96125,0.887
1,entropy_descent,0.616372373741,0.71681500095,0.8155,0.8
2,entropy_descent,0.342119648841,0.432167002242,0.904,0.879
3,entropy_descent,0.421651027555,0.47232192724,0.8725,0.871
4,entropy_descent,0.341711993552,0.462565270918,0.9045,0.873
5,entropy_descent,0.256086072247,0.388079220025,0.9275,0.896
6,entropy_descent,0.27855260189,0.433969673834,0.91575,0.88
7,entropy_descent,0.335136678996,0.472171050098,0.89775,0.864
8,entropy_descent,0.248823300343,0.383759550818,0.93,0.884
9,entropy_descent,0.214008516908,0.381722710041,0.944,0.887
10,entropy_descent,0.212142138391,0.39909777826,0.93825,0.885
11,entropy_descent,0.198741454143,0.384476335816,0.9425,0.879
12,entropy_descent,0.229242444017,0.454155043555,0.9265,0.88
1,hamiltonian_geometric,0.463956983544,0.487000200888,0.86425,0.861
2,hamiltonian_geometric,0.372016289552,0.406171916735,0.89825,0.885
3,hamiltonian_geometric,0.337170805245,0.38218893768,0.90575,0.894
4,hamiltonian_geometric,0.315939893639,0.365972775979,0.915,0.901
5,hamiltonian_geometric,0.293553459429,0.352710232998,0.92475,0.897
6,hamiltonian_geometric,0.282228010458,0.352155407326,0.927,0.899
7,hamiltonian_geometric,0.274309165224,0.355100870246,0.924,0.89
8,hamiltonian_geometric,0.270190006181,0.347083017544,0.9295,0.896
9,hamiltonian_geometric,0.2637500778,0.350891221914,0.92875,0.896
10,hamiltonian_geometric,0.244483438812,0.344677998303,0.937,0.894
11,hamiltonian_geometric,0.237939192894,0.34794086875,0.93925,0.89
12,hamiltonian_geometric,0.23102725011,0.344042242573,0.9415,0.892
