epoch,optimizer,train_loss,val_loss,train_accuracy,val_accuracy
1,sgd,0.876093571293,0.869084705154,0.523333333333,0.51
2,sgd,0.837899189498,0.830193784977,0.514444444444,0.526666666667
3,sgd,0.822889194091,0.814148745296,0.521111111111,0.52
4,sgd,0.812542908707,0.803831764426,0.514444444444,0.53
5,sgd,0.80529244533,0.796181476023,0.516666666667,0.533333333333
6,sgd,0.801473218126,0.792267544685,0.516666666667,0.533333333333
7,sgd,0.798134030381,0.787365904607,0.515555555556,0.536666666667
8,sgd,0.796089047729,0.78686977795,0.514444444444,0.536666666667
9,sgd,0.794284339814,0.78466763567,0.523333333333,0.53
10,sgd,0.793143214173,0.783636645376,0.523333333333,0.53
11,sgd,0.790838049345,0.781301147282,0.525555555556,0.54
12,sgd,0.790074439411,0.781302979041,0.523333333333,0.523333333333
13,sgd,0.787858939835,0.778276804798,0.528888888889,0.54
14,sgd,0.786454478491,0.776149998208,0.53,0.536666666667
15,sgd,0.784908729374,0.776048813273,0.523333333333,0.536666666667
16,sgd,0.78294149554,0.77311979721,0.524444444444,0.543333333333
17,sgd,0.782161623057,0.772551236634,0.53,0.536666666667
18,sgd,0.780252861255,0.769748621727,0.528888888889,0.546666666667
19,sgd,0.779446581415,0.768459030681,0.527777777778,0.546666666667
20,sgd,0.776956491163,0.766924610908,0.528888888889,0.543333333333
21,sgd,0.776599510048,0.764654545731,0.533333333333,0.546666666667
22,sgd,0.775748750082,0.763503917116,0.535555555556,0.55
23,sgd,0.77357782922,0.762487010189,0.538888888889,0.546666666667
24,sgd,0.771603588108,0.760835036419,0.537777777778,0.546666666667
25,sgd,0.769515613683,0.759187520169,0.537777777778,0.546666666667
26,sgd,0.76856375055,0.758799269415,0.538888888889,0.543333333333
27,sgd,0.766787032352,0.757630007089,0.535555555556,0.546666666667
28,sgd,0.765632700476,0.757273713053,0.532222222222,0.553333333333
29,sgd,0.763709254403,0.75446007881,0.535555555556,0.55
30,sgd,0.762403104699,0.75254292798,0.543333333333,0.55
31,sgd,0.760325248429,0.750105687738,0.537777777778,0.553333333333
32,sgd,0.759345209868,0.748084015053,0.541111111111,0.556666666667
33,sgd,0.76100505106,0.749502999858,0.542222222222,0.553333333333
34,sgd,0.758119196553,0.746270639936,0.541111111111,0.553333333333
35,sgd,0.755428266236,0.745655344106,0.547777777778,0.546666666667
36,sgd,0.752704168041,0.743098796249,0.548888888889,0.556666666667
37,sgd,0.751010721948,0.741697410138,0.551111111111,0.56
38,sgd,0.749129565335,0.738995175166,0.554444444444,0.56
39,sgd,0.747674892234,0.737443228016,0.551111111111,0.56
40,sgd,0.745825689021,0.735903968598,0.552222222222,0.556666666667
41,sgd,0.744094670897,0.733843148871,0.557777777778,0.563333333333
42,sgd,0.743174107976,0.733249498144,0.552222222222,0.556666666667
43,sgd,0.741609962156,0.731430099525,0.558888888889,0.563333333333
44,sgd,0.739420874403,0.730065080433,0.558888888889,0.56
45,sgd,0.737436113283,0.728115665275,0.562222222222,0.563333333333
46,sgd,0.736252122623,0.726550845445,0.568888888889,0.563333333333
47,sgd,0.734611091699,0.724420021215,0.563333333333,0.57
48,sgd,0.732138542132,0.72185129088,0.565555555556,0.57
49,sgd,0.730635012321,0.720908479707,0.566666666667,0.57
50,sgd,0.72890084198,0.719316605263,0.566666666667,0.57
51,sgd,0.727162994942,0.718062308171,0.571111111111,0.57
52,sgd,0.72493700218,0.715623143855,0.575555555556,0.566666666667
53,sgd,0.722965710713,0.713164778754,0.573333333333,0.573333333333
54,sgd,0.721119405601,0.710643268839,0.574444444444,0.58
55,sgd,0.719048409686,0.708534549649,0.578888888889,0.58
56,sgd,0.717084005116,0.706297222069,0.584444444444,0.576666666667
57,sgd,0.715196162675,0.705231491689,0.582222222222,0.58
58,sgd,0.713311446138,0.702450968611,0.585555555556,0.583333333333
59,sgd,0.711418931363,0.701209542991,0.584444444444,0.58
60,sgd,0.709136861022,0.698668475153,0.587777777778,0.586666666667
61,sgd,0.707194693895,0.696320297142,0.601111111111,0.593333333333
62,sgd,0.705435938117,0.694455290432,0.591111111111,0.586666666667
63,sgd,0.703560781658,0.692686747609,0.593333333333,0.586666666667
64,sgd,0.701998149712,0.69024037114,0.595555555556,0.593333333333
65,sgd,0.699113161856,0.68865421426,0.598888888889,0.593333333333
66,sgd,0.697202921578,0.686173717193,0.602222222222,0.596666666667
67,sgd,0.696542740188,0.684757661398,0.602222222222,0.596666666667
68,sgd,0.695269201211,0.68448824621,0.605555555556,0.59
69,sgd,0.690827348281,0.680251059591,0.611111111111,0.6
70,sgd,0.688247301415,0.67757501109,0.623333333333,0.613333333333
71,sgd,0.685800180042,0.675091388377,0.627777777778,0.613333333333
72,sgd,0.683421839603,0.672686882633,0.637777777778,0.616666666667
73,sgd,0.681646978779,0.671399886059,0.642222222222,0.636666666667
74,sgd,0.67879397346,0.668743275091,0.642222222222,0.62
75,sgd,0.676694642887,0.665727216414,0.643333333333,0.62
76,sgd,0.67419341377,0.664159407002,0.626666666667,0.61
77,sgd,0.671828837793,0.661240876351,0.636666666667,0.61
78,sgd,0.669379223345,0.659386846083,0.635555555556,0.613333333333
79,sgd,0.667581698585,0.658292411491,0.63,0.623333333333
80,sgd,0.664472893765,0.655298023079,0.645555555556,0.616666666667
81,sgd,0.662038383929,0.652531405916,0.65,0.63
82,sgd,0.660518035349,0.651384985503,0.653333333333,0.65
83,sgd,0.657354734942,0.646726012489,0.652222222222,0.65
84,sgd,0.654676175836,0.643964072699,0.657777777778,0.653333333333
85,sgd,0.652098355853,0.641242258528,0.657777777778,0.653333333333
86,sgd,0.650053947869,0.640059609648,0.67,0.69
87,sgd,0.647283865118,0.636482828327,0.663333333333,0.653333333333
88,sgd,0.644787579313,0.633896050581,0.662222222222,0.63
89,sgd,0.641936822348,0.631473888444,0.663333333333,0.64
90,sgd,0.639700161507,0.628801842682,0.658888888889,0.646666666667
91,sgd,0.637011695538,0.626847131772,0.667777777778,0.663333333333
92,sgd,0.635045323151,0.624718928328,0.677777777778,0.66
93,sgd,0.631548361572,0.62098786401,0.671111111111,0.67
94,sgd,0.629936550711,0.61907077079,0.674444444444,0.643333333333
95,sgd,0.626081393762,0.614993385374,0.686666666667,0.686666666667
96,sgd,0.622759508613,0.612346460566,0.694444444444,0.693333333333
97,sgd,0.619835722948,0.609493886563,0.691111111111,0.69
98,sgd,0.617733267426,0.606850571713,0.685555555556,0.666666666667
99,sgd,0.614403359064,0.603924808577,0.7,0.693333333333
100,sgd,0.612698955166,0.602185422816,0.706666666667,0.71
101,sgd,0.609172227918,0.598803685279,0.697777777778,0.69
102,sgd,0.606107829099,0.595647163634,0.707777777778,0.726666666667
103,sgd,0.603398297808,0.592775144779,0.71,0.72
104,sgd,0.60018589035,0.58933642102,0.704444444444,0.696666666667
105,sgd,0.596984974511,0.58663802373,0.714444444444,0.713333333333
106,sgd,0.594156940579,0.583712649817,0.714444444444,0.71
107,sgd,0.592674850513,0.582401824965,0.723333333333,0.723333333333
108,sgd,0.589205808722,0.578376416391,0.715555555556,0.713333333333
109,sgd,0.585533179373,0.575489840797,0.722222222222,0.72
110,sgd,0.583341824532,0.572662177601,0.716666666667,0.723333333333
111,sgd,0.579581473972,0.56947521214,0.73,0.74
112,sgd,0.577955403114,0.56780676502,0.743333333333,0.746666666667
113,sgd,0.574346693487,0.564601400624,0.741111111111,0.736666666667
114,sgd,0.570638247213,0.560765724597,0.737777777778,0.743333333333
115,sgd,0.568548360471,0.559252084238,0.753333333333,0.746666666667
116,sgd,0.565332737293,0.556428980013,0.738888888889,0.756666666667
117,sgd,0.562547925383,0.553991183504,0.746666666667,0.753333333333
118,sgd,0.558963850123,0.550068345304,0.742222222222,0.753333333333
119,sgd,0.556224613793,0.546543624484,0.752222222222,0.753333333333
120,sgd,0.552841763279,0.54285766621,0.745555555556,0.753333333333
1,adam,0.803842231479,0.790883692997,0.531111111111,0.523333333333
2,adam,0.789049544208,0.781086088711,0.526666666667,0.53
3,adam,0.76659280408,0.757185294319,0.543333333333,0.54
4,adam,0.745396552707,0.736632277338,0.553333333333,0.566666666667
5,adam,0.725949020973,0.71742888614,0.57,0.576666666667
6,adam,0.699268659228,0.688155534734,0.588888888889,0.586666666667
7,adam,0.670470405185,0.658195268273,0.618888888889,0.606666666667
8,adam,0.636975334959,0.631450335573,0.67,0.656666666667
9,adam,0.594364104935,0.583050936018,0.715555555556,0.72
10,adam,0.548051876916,0.539637663325,0.78,0.776666666667
11,adam,0.50451562717,0.493176710914,0.788888888889,0.786666666667
12,adam,0.457229150256,0.447406019707,0.836666666667,0.86
13,adam,0.434214235969,0.421688210739,0.847777777778,0.836666666667
14,adam,0.379522327283,0.363821675083,0.893333333333,0.913333333333
15,adam,0.350461592633,0.337590652176,0.893333333333,0.896666666667
16,adam,0.319475725703,0.302834063672,0.904444444444,0.916666666667
17,adam,0.290615827112,0.273257565254,0.922222222222,0.943333333333
18,adam,0.271074011665,0.252726040162,0.921111111111,0.936666666667
19,adam,0.257632222422,0.237154577695,0.935555555556,0.946666666667
20,adam,0.241237526879,0.219256686529,0.93,0.943333333333
21,adam,0.241887131003,0.218529578291,0.937777777778,0.95
22,adam,0.217831806641,0.195381795563,0.932222222222,0.953333333333
23,adam,0.205118778208,0.18180096098,0.945555555556,0.963333333333
24,adam,0.198235242032,0.175752404733,0.955555555556,0.973333333333
25,adam,0.196744131918,0.173321820213,0.955555555556,0.97
26,adam,0.185511737523,0.160194151748,0.957777777778,0.97
27,adam,0.177276360323,0.153314921432,0.956666666667,0.973333333333
28,adam,0.177028477455,0.151884196737,0.95,0.96
29,adam,0.169224921431,0.14634694355,0.952222222222,0.963333333333
30,adam,0.165329813558,0.13964526071,0.958888888889,0.973333333333
31,adam,0.161274480095,0.134429109522,0.961111111111,0.973333333333
32,adam,0.162598972564,0.139404417104,0.961111111111,0.973333333333
33,adam,0.152358618556,0.12918075424,0.965555555556,0.976666666667
34,adam,0.151899562977,0.126101473361,0.964444444444,0.97
35,adam,0.147980779761,0.125133993825,0.965555555556,0.976666666667
36,adam,0.144251195733,0.12201211385,0.962222222222,0.973333333333
37,adam,0.141228188722,0.11810988512,0.97,0.98
38,adam,0.136422516843,0.11341829382,0.967777777778,0.976666666667
39,adam,0.143250690939,0.116355120406,0.963333333333,0.973333333333
40,adam,0.141344554217,0.116657729542,0.963333333333,0.973333333333
41,adam,0.129912152824,0.106921350835,0.967777777778,0.976666666667
42,adam,0.128962000704,0.106325212665,0.97,0.98
43,adam,0.131430830483,0.10417071217,0.967777777778,0.973333333333
44,adam,0.132343706659,0.111545224505,0.966666666667,0.976666666667
45,adam,0.123936504361,0.102119824404,0.972222222222,0.983333333333
