optimizer,final_train_loss,final_val_loss,final_val_perplexity,runtime_s,peak_gpu_memory_mb,target_val_loss,updates_to_target,time_to_target_s,target_reached
adafactor,7.213855438232422,7.23781533241272,1391.05166337998,60.807433399997535,1350.35205078125,7.5,75,22.916393799998332,True
adamw,7.3393394470214846,7.36764702796936,1583.90251666227,55.877810499994666,1405.33251953125,7.5,150,41.79624049999984,True
hamiltonian_geometric,7.356867427825928,7.382077836990357,1606.9252300428104,60.39761539999745,1432.9609375,7.5,150,45.38932919999934,True
lion,8.22814193725586,8.146109771728515,3449.931903547784,57.671225300000515,1377.7041015625,7.5,,,False
muon_lite,10.588226699829102,10.56425952911377,38725.73050865649,70.15957679999701,1377.73046875,7.5,,,False
