optimizer,step,train_loss,val_loss,val_perplexity,elapsed_s
adamw,25,10.290072402954102,9.741446781158448,17008.130631750497,6.936008200005745
adamw,50,9.283611640930175,8.811646652221679,6711.962440254054,13.751247100008186
adamw,75,8.451419982910156,8.133819675445556,3407.791394172268,20.66668030001165
adamw,100,7.876577453613281,7.695739030838013,2198.958307978106,27.70224589999998
adamw,125,7.5219103050231935,7.502029037475586,1811.7147246400293,34.736642600008054
adamw,150,7.430705299377442,7.4384681224823,1700.1438132272576,41.79624049999984
adamw,175,7.396783256530762,7.402236652374268,1639.647653607295,48.890368100008345
adamw,200,7.3393394470214846,7.36764702796936,1583.90251666227,55.86980840000615
adafactor,25,9.418219299316407,8.097366237640381,3285.8026456225552,7.746132899992517
adafactor,50,7.661744537353516,7.502896785736084,1813.2875192370516,15.363282699996489
adafactor,75,7.4072323989868165,7.4105010509490965,1653.254504111053,22.916393799998332
adafactor,100,7.337694721221924,7.398094987869262,1632.8708264789454,30.553756199995405
adafactor,125,7.28474609375,7.375591564178467,1596.536004711713,38.21001699999033
adafactor,150,7.294799919128418,7.323376655578613,1515.3120276452578,45.70965979999164
adafactor,175,7.274612522125244,7.2818256378173825,1453.6394232355992,53.1893243999948
adafactor,200,7.213855438232422,7.23781533241272,1391.05166337998,60.8048218999902
lion,25,10.548249397277832,10.303302001953124,29830.95828756651,7.116218299997854
lion,50,10.117333984375,9.893732833862305,19805.854085399114,14.333524599991506
lion,75,9.6993892288208,9.494823169708251,13290.74450008527,21.7875764999917
lion,100,9.326267623901368,9.14929666519165,9407.821203159923,28.897059900002205
lion,125,8.990383644104003,8.850256061553955,6976.175071649598,36.02212799999688
lion,150,8.708736152648926,8.58703670501709,5361.7018072098845,43.2095915999962
lion,175,8.475535049438477,8.354042530059814,4247.315987478118,50.45482759999868
lion,200,8.22814193725586,8.146109771728515,3449.931903547784,57.669028499993146
muon_lite,25,10.767374153137206,10.690108108520509,43919.25478656755,8.821215899995877
muon_lite,50,10.680800247192384,10.642845153808594,41891.79041131082,17.582214900001418
muon_lite,75,10.647738151550293,10.620431900024414,40963.30316032172,26.32178530000965
muon_lite,100,10.625675010681153,10.606869983673096,40411.51239682032,35.179040800008806
muon_lite,125,10.614634132385254,10.59674129486084,40004.26269770691,44.011685799996485
muon_lite,150,10.608470840454101,10.586842060089111,39610.20476336069,52.819087600000785
muon_lite,175,10.598735008239746,10.576220417022705,39191.70581436284,61.46973739999521
muon_lite,200,10.588226699829102,10.56425952911377,38725.73050865649,70.15545980000752
hamiltonian_geometric,25,10.284495162963868,9.72500400543213,16730.756404678526,7.539606299993466
hamiltonian_geometric,50,9.258978424072266,8.783936023712158,6528.523090457882,15.235525800002506
hamiltonian_geometric,75,8.429612808227539,8.121521854400635,3366.1396233972537,22.871231099998113
hamiltonian_geometric,100,7.8738868522644045,7.701495361328125,2211.652740354034,30.386572399991564
hamiltonian_geometric,125,7.534944763183594,7.514197206497192,1833.894646476669,37.91986330000509
hamiltonian_geometric,150,7.443902263641357,7.44770188331604,1715.915237301633,45.38932919999934
hamiltonian_geometric,175,7.408395862579345,7.415679264068603,1661.837611675355,52.92745809999178
hamiltonian_geometric,200,7.356867427825928,7.382077836990357,1606.9252300428104,60.39497589999519
