epoch,optimizer,train_loss,test_loss,train_accuracy,test_accuracy
1,sgd,0.541952015361,0.512078773737,0.8635,0.863
2,sgd,0.433860617313,0.41385626064,0.8905,0.887
3,sgd,0.394254810298,0.378376408267,0.8945,0.89
4,sgd,0.37074305808,0.370654928155,0.90275,0.891
5,sgd,0.349748419489,0.346281872691,0.90575,0.892
6,sgd,0.331316305945,0.338911154754,0.9115,0.904
7,sgd,0.328784699863,0.348129658975,0.9065,0.901
8,sgd,0.307054109326,0.31969484196,0.915,0.905
9,sgd,0.296811345605,0.321766979758,0.9185,0.906
10,sgd,0.287494033901,0.305999109313,0.9215,0.906
11,sgd,0.284076451853,0.302778889293,0.921,0.905
12,sgd,0.27572300979,0.304721304675,0.9245,0.907
1,heavy_ball,0.401810971465,0.385254920883,0.883,0.87
2,heavy_ball,0.348814027951,0.365740683255,0.90125,0.889
3,heavy_ball,0.324694105236,0.342670002278,0.905,0.889
4,heavy_ball,0.289947025226,0.315005034969,0.91975,0.894
5,heavy_ball,0.263546589399,0.312465659376,0.92525,0.9
6,heavy_ball,0.262868013347,0.335892992225,0.9265,0.896
7,heavy_ball,0.235579309963,0.294284936416,0.9375,0.906
8,heavy_ball,0.247895913156,0.322182698396,0.93,0.902
9,heavy_ball,0.221051105057,0.305352709538,0.938,0.901
10,heavy_ball,0.218165015796,0.298937524255,0.9395,0.905
11,heavy_ball,0.207624062902,0.296617866535,0.94175,0.905
12,heavy_ball,0.202565993149,0.293403878683,0.94075,0.906
1,nesterov,0.392543537733,0.371529496392,0.88875,0.872
2,nesterov,0.333054712658,0.336301765803,0.90725,0.901
3,nesterov,0.310116189607,0.323592833734,0.9115,0.896
4,nesterov,0.288118994742,0.314089887554,0.9185,0.896
5,nesterov,0.266598313719,0.309887066502,0.924,0.896
6,nesterov,0.25534445673,0.313107414058,0.93,0.901
7,nesterov,0.240411704182,0.297361506286,0.938,0.906
8,nesterov,0.238454460893,0.305412961358,0.93425,0.904
9,nesterov,0.223697733283,0.300908429186,0.9405,0.906
10,nesterov,0.2198858121,0.29126155653,0.94125,0.907
11,nesterov,0.213421829055,0.293470537055,0.9435,0.905
12,nesterov,0.205192748299,0.289625759284,0.94025,0.907
1,adamw,0.403207965345,0.39781654876,0.88175,0.875
2,adamw,0.330003903017,0.365752302341,0.90575,0.892
3,adamw,0.284172131974,0.318638512488,0.92225,0.897
4,adamw,0.265418121001,0.318550743506,0.925,0.899
5,adamw,0.241972073771,0.304030764438,0.93425,0.895
6,adamw,0.231551487776,0.315362913801,0.935,0.902
7,adamw,0.219781578321,0.3015332572,0.94125,0.91
8,adamw,0.213124725088,0.311341395581,0.9415,0.902
9,adamw,0.193116577847,0.301735182633,0.95125,0.907
10,adamw,0.19950731601,0.306885541561,0.94425,0.901
11,adamw,0.186274742855,0.303827026657,0.95025,0.906
12,adamw,0.176626205203,0.296309972981,0.95375,0.911
1,entropy_descent,0.728332020811,0.747685136833,0.7995,0.796
2,entropy_descent,0.387830355051,0.368270388824,0.892,0.885
3,entropy_descent,0.403218325555,0.431137269744,0.889,0.876
4,entropy_descent,0.334478467717,0.403038116309,0.9045,0.877
5,entropy_descent,0.676483340026,0.759366668094,0.82525,0.806
6,entropy_descent,0.372928711651,0.445621392809,0.88025,0.859
7,entropy_descent,0.289435150689,0.383537451564,0.91925,0.889
8,entropy_descent,0.251625552328,0.32118407772,0.92625,0.902
9,entropy_descent,0.267256275567,0.375753207187,0.9215,0.89
10,entropy_descent,0.212613012179,0.302791249929,0.938,0.902
11,entropy_descent,0.216006992176,0.304837336361,0.9325,0.906
12,entropy_descent,0.229237111183,0.358158986488,0.93225,0.887
1,hamiltonian_geometric,0.457663765354,0.430894411433,0.8665,0.866
2,hamiltonian_geometric,0.378021714651,0.37061712169,0.895,0.892
3,hamiltonian_geometric,0.346813924821,0.339447079526,0.90425,0.892
4,hamiltonian_geometric,0.330732264524,0.334761579954,0.9095,0.893
5,hamiltonian_geometric,0.306007233652,0.329078412571,0.915,0.894
6,hamiltonian_geometric,0.28990202693,0.310285196572,0.9195,0.903
7,hamiltonian_geometric,0.281904501615,0.312482186407,0.927,0.907
8,hamiltonian_geometric,0.277509442138,0.312258934636,0.9225,0.904
9,hamiltonian_geometric,0.262238732872,0.309490351458,0.92875,0.911
10,hamiltonian_geometric,0.254274445676,0.296065184903,0.9295,0.903
11,hamiltonian_geometric,0.266363753428,0.320060893093,0.9275,0.901
12,hamiltonian_geometric,0.247151072056,0.29687091239,0.92825,0.91
