optimizer,final_train_loss,final_test_loss,final_train_accuracy,final_test_accuracy,runtime_s
nesterov,0.205192748299,0.289625759284,0.94025,0.907,1.57075689999
heavy_ball,0.202565993149,0.293403878683,0.94075,0.906,0.825667600002
adamw,0.176626205203,0.296309972981,0.95375,0.911,0.78755339999
hamiltonian_geometric,0.247151072056,0.29687091239,0.92825,0.91,0.846629699998
sgd,0.27572300979,0.304721304675,0.9245,0.907,0.923580800008
entropy_descent,0.229237111183,0.358158986488,0.93225,0.887,0.84630070001
