global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,2.3124935626983643,0.7874059677124023,,,,,,,,,,,,,,,,,
1,,,0.8110986351966858,0.5127386450767517,0.0244657173814402,0.8010088801383972,0.5200061798095703,0.0264295396030489,43793.0,0.7979860901832581,0.5226386189460754,0.0278227447933818,43793.0,11.046372413635254,474.9158847332001,11.046372413635254,463.4250054359436,0.0,0.0
1,0.8066766262054443,0.5125522017478943,,,,,,,,,,,,,,,,,
2,0.4797108173370361,0.4117546379566192,,,,,,,,,,,,,,,,,
3,0.3879914581775665,0.3641291260719299,,,,,,,,,,,,,,,,,
4,0.3490992188453674,0.3374446332454681,,,,,,,,,,,,,,,,,
5,0.3184546232223511,0.3057139217853546,,,,,,,,,,,,,,,,,
6,0.3019775450229645,0.2611921429634094,,,,,,,,,,,,,,,,,
7,0.2766059637069702,0.2423425763845443,,,,,,,,,,,,,,,,,
8,0.2483819127082824,0.2421643137931823,,,,,,,,,,,,,,,,,
9,0.2300707250833511,0.2172231078147888,,,,,,,,,,,,,,,,,
10,0.2077496349811554,0.1985855847597122,,,,,,,,,,,,,,,,,
11,0.1946969181299209,0.1838350892066955,,,,,,,,,,,,,,,,,
12,0.1800960749387741,0.1663148552179336,,,,,,,,,,,,,,,,,
13,0.1666689664125442,0.1568656265735626,,,,,,,,,,,,,,,,,
14,0.1523778587579727,0.1434998959302902,,,,,,,,,,,,,,,,,
15,0.1386800408363342,0.128788948059082,,,,,,,,,,,,,,,,,
16,0.1272181272506714,0.1253151893615722,,,,,,,,,,,,,,,,,
17,0.114753283560276,0.126641646027565,,,,,,,,,,,,,,,,,
18,0.1014942601323127,0.134912222623825,,,,,,,,,,,,,,,,,
19,0.0967238470911979,0.1125570014119148,,,,,,,,,,,,,,,,,
20,,,0.9867509007453918,0.1008637472987175,0.0228474949796321,0.983894109725952,0.1094283163547515,0.0261836874317513,43793.0,0.9831916093826294,0.111398197710514,0.0276051093554118,43793.0,15.495163679122925,818.4678254127502,15.495163679122925,800.5059823989868,0.7255432605743408,0.0
20,,,,,,,,,,,,,,15.495163679122925,,,,,0.0
