x_m,y_m,potential_V
-0.04,-0.04,-0.666384884193
-0.039,-0.04,-0.709994769113
-0.038,-0.04,-0.752786579786
-0.037,-0.04,-0.794746539444
-0.036,-0.04,-0.835861240187
-0.035,-0.04,-0.876117630523
-0.034,-0.04,-0.915503004383
-0.033,-0.04,-0.954004991562
-0.032,-0.04,-0.991611549518
-0.031,-0.04,-1.02831095641
-0.03,-0.04,-1.06409180529
-0.029,-0.04,-1.09894299925
-0.028,-0.04,-1.13285374744
-0.027,-0.04,-1.16581356191
-0.026,-0.04,-1.19781225491
-0.025,-0.04,-1.22883993686
-0.024,-0.04,-1.25888701463
-0.023,-0.04,-1.28794419023
-0.022,-0.04,-1.31600245964
-0.021,-0.04,-1.34305311197
-0.02,-0.04,-1.36908772863
-0.019,-0.04,-1.39409818266
-0.018,-0.04,-1.418076638
-0.017,-0.04,-1.44101554885
-0.016,-0.04,-1.46290765881
-0.015,-0.04,-1.48374600005
-0.014,-0.04,-1.50352389219
-0.013,-0.04,-1.52223494112
-0.012,-0.04,-1.53987303744
-0.011,-0.04,-1.55643235475
-0.01,-0.04,-1.57190734774
-0.009,-0.04,-1.58629274993
-0.008,-0.04,-1.59958357132
-0.007,-0.04,-1.61177509598
-0.006,-0.04,-1.62286287953
-0.005,-0.04,-1.63284274684
-0.004,-0.04,-1.64171078989
-0.003,-0.04,-1.64946336612
-0.002,-0.04,-1.65609709716
-0.001,-0.04,-1.66160886832
0,-0.04,-1.66599582862
0.001,-0.04,-1.66925539155
0.002,-0.04,-1.67138523661
0.003,-0.04,-1.67238331127
0.004,-0.04,-1.67224783359
0.005,-0.04,-1.67097729519
0.006,-0.04,-1.66857046446
0.007,-0.04,-1.66502639005
0.008,-0.04,-1.66034440439
0.009,-0.04,-1.6545241273
0.01,-0.04,-1.6475654697
0.011,-0.04,-1.63946863731
0.012,-0.04,-1.63023413449
0.013,-0.04,-1.61986276824
0.014,-0.04,-1.60835565238
0.015,-0.04,-1.59571421188
0.016,-0.04,-1.58194018757
0.017,-0.04,-1.56703564105
0.018,-0.04,-1.55100295983
0.019,-0.04,-1.53384486285
0.02,-0.04,-1.51556440612
0.021,-0.04,-1.49616498862
0.022,-0.04,-1.47565035826
0.023,-0.04,-1.45402461794
0.024,-0.04,-1.43129223157
0.025,-0.04,-1.40745802985
0.026,-0.04,-1.38252721591
0.027,-0.04,-1.35650537038
0.028,-0.04,-1.32939845596
0.029,-0.04,-1.30121282128
0.03,-0.04,-1.27195520374
0.031,-0.04,-1.24163273143
0.032,-0.04,-1.21025292369
0.033,-0.04,-1.17782369044
0.034,-0.04,-1.1443533299
0.035,-0.04,-1.10985052494
0.036,-0.04,-1.07432433773
0.037,-0.04,-1.03778420291
0.038,-0.04,-1.00023991917
0.039,-0.04,-0.961701639505
0.04,-0.04,-0.922179860125
-0.04,-0.039,-0.6490680577
-0.039,-0.039,-0.690957252563
-0.038,-0.039,-0.73207092775
-0.037,-0.039,-0.772395115847
-0.036,-0.039,-0.811916215252
-0.035,-0.039,-0.850620977964
-0.034,-0.039,-0.888496498836
-0.033,-0.039,-0.925530206284
-0.032,-0.039,-0.961709854365
-0.031,-0.039,-0.997023516118
-0.03,-0.039,-1.03145957806
-0.029,-0.039,-1.0650067357
-0.028,-0.039,-1.09765398991
-0.027,-0.039,-1.12939064409
-0.026,-0.039,-1.16020630194
-0.025,-0.039,-1.19009086575
-0.024,-0.039,-1.21903453508
-0.023,-0.039,-1.24702780586
-0.022,-0.039,-1.27406146962
-0.021,-0.039,-1.30012661295
-0.02,-0.039,-1.32521461712
-0.019,-0.039,-1.34931715766
-0.018,-0.039,-1.37242620402
-0.017,-0.039,-1.39453401912
-0.016,-0.039,-1.41563315886
-0.015,-0.039,-1.43571647144
-0.014,-0.039,-1.45477709649
-0.013,-0.039,-1.47280846401
-0.012,-0.039,-1.48980429299
-0.011,-0.039,-1.50575858988
-0.01,-0.039,-1.52066564666
-0.009,-0.039,-1.5345200388
-0.008,-0.039,-1.54731662297
-0.007,-0.039,-1.55905053465
-0.006,-0.039,-1.56971718583
-0.005,-0.039,-1.57931226272
-0.004,-0.039,-1.5878317238
-0.003,-0.039,-1.59527179824
-0.002,-0.039,-1.60162898484
-0.001,-0.039,-1.60690005154
0,-0.039,-1.61108203567
0.001,-0.039,-1.6141722448
0.002,-0.039,-1.61616825826
0.003,-0.039,-1.61706792918
0.004,-0.039,-1.61686938709
0.005,-0.039,-1.61557104074
0.006,-0.039,-1.61317158127
0.007,-0.039,-1.60966998545
0.008,-0.039,-1.60506551901
0.009,-0.039,-1.59935774004
0.01,-0.039,-1.59254650238
0.011,-0.039,-1.58463195909
0.012,-0.039,-1.575614566
0.013,-0.039,-1.5654950854
0.014,-0.039,-1.55427458991
0.015,-0.039,-1.54195446659
0.016,-0.039,-1.52853642128
0.017,-0.039,-1.51402248324
0.018,-0.039,-1.49841501004
0.019,-0.039,-1.48171669274
0.02,-0.039,-1.4639305613
0.021,-0.039,-1.44505999021
0.022,-0.039,-1.42510870418
0.023,-0.039,-1.40408078404
0.024,-0.039,-1.38198067253
0.025,-0.039,-1.35881317996
0.026,-0.039,-1.33458348974
0.027,-0.039,-1.30929716346
0.028,-0.039,-1.28296014546
0.029,-0.039,-1.25557876681
0.03,-0.039,-1.22715974837
0.031,-0.039,-1.19771020296
0.032,-0.039,-1.16723763634
0.033,-0.039,-1.13574994694
0.034,-0.039,-1.10325542421
0.035,-0.039,-1.0697627455
0.036,-0.039,-1.03528097145
0.037,-0.039,-0.999819539808
0.038,-0.039,-0.963388257825
0.039,-0.039,-0.925997293155
0.04,-0.039,-0.887657163491
-0.04,-0.038,-0.632514287672
-0.039,-0.038,-0.672696604727
-0.038,-0.038,-0.712145693033
-0.037,-0.038,-0.750847389151
-0.036,-0.038,-0.788787892841
-0.035,-0.038,-0.8259537551
-0.034,-0.038,-0.862331867673
-0.033,-0.038,-0.897909454031
-0.032,-0.038,-0.932674061727
-0.031,-0.038,-0.966613556044
-0.03,-0.038,-0.999716114799
-0.029,-0.038,-1.03197022419
-0.028,-0.038,-1.06336467551
-0.027,-0.038,-1.09388856268
-0.026,-0.038,-1.12353128037
-0.025,-0.038,-1.15228252263
-0.024,-0.038,-1.18013228199
-0.023,-0.038,-1.20707084888
-0.022,-0.038,-1.23308881119
-0.021,-0.038,-1.25817705413
-0.02,-0.038,-1.28232676009
-0.019,-0.038,-1.30552940857
-0.018,-0.038,-1.32777677607
-0.017,-0.038,-1.34906093595
-0.016,-0.038,-1.36937425808
-0.015,-0.038,-1.3887094084
-0.014,-0.038,-1.40705934822
-0.013,-0.038,-1.42441733325
-0.012,-0.038,-1.4407769124
-0.011,-0.038,-1.45613192629
-0.01,-0.038,-1.47047650544
-0.009,-0.038,-1.4838050683
-0.008,-0.038,-1.49611231902
-0.007,-0.038,-1.50739324518
-0.006,-0.038,-1.51764311552
-0.005,-0.038,-1.52685747783
-0.004,-0.038,-1.53503215703
-0.003,-0.038,-1.54216325382
-0.002,-0.038,-1.54824714364
-0.001,-0.038,-1.55328047644
0,-0.038,-1.55726017694
