step,optimizer,loss
1,sgd,20
1,adam,20
1,falling_ball,20
1,entropy_descent,20
1,hamiltonian_geometric,20
2,sgd,19.9999888909
2,adam,22.780528957
2,falling_ball,19.9999888909
2,entropy_descent,19.8971846362
2,hamiltonian_geometric,19.8972253495
3,sgd,19.999981602
3,adam,21.0419313616
3,falling_ball,19.9999772436
3,entropy_descent,19.7984174374
3,hamiltonian_geometric,19.7078560356
4,sgd,19.9999753665
4,adam,21.8748076502
4,falling_ball,19.9999626434
4,entropy_descent,19.7035386208
4,hamiltonian_geometric,19.4527572807
5,sgd,19.9999698009
5,adam,20.8059883938
5,falling_ball,19.9999483044
5,entropy_descent,19.6123947125
5,hamiltonian_geometric,19.1550890176
6,sgd,19.9999647179
6,adam,20.1550174713
6,falling_ball,19.9999353898
6,entropy_descent,19.5248382982
6,hamiltonian_geometric,18.8381206814
7,sgd,19.9999600026
7,adam,20.618268964
7,falling_ball,19.9999213105
7,entropy_descent,19.4407277844
7,hamiltonian_geometric,18.5233874299
8,sgd,19.9999555756
8,adam,20.9429174842
8,falling_ball,19.9999079376
8,entropy_descent,19.3599271678
8,hamiltonian_geometric,18.2292756905
9,sgd,19.9999513788
9,adam,20.6836107349
9,falling_ball,19.9998941401
9,entropy_descent,19.2823058154
9,hamiltonian_geometric,17.9700786633
10,sgd,19.9999473678
10,adam,20.410625117
10,falling_ball,19.9998782315
10,entropy_descent,19.2077382518
10,hamiltonian_geometric,17.7555195852
11,sgd,19.999943508
11,adam,20.3938206975
11,falling_ball,19.9998616357
11,entropy_descent,19.1361039556
11,hamiltonian_geometric,17.5907047749
12,sgd,19.9999397722
12,adam,20.4288169128
12,falling_ball,19.9998441659
12,entropy_descent,19.0672871641
12,hamiltonian_geometric,17.4764413681
13,sgd,19.9999361388
13,adam,20.377997924
13,falling_ball,19.9998258191
13,entropy_descent,19.0011766851
13,hamiltonian_geometric,17.4098369109
14,sgd,19.9999325905
14,adam,20.2674277656
14,falling_ball,19.9998081448
14,entropy_descent,18.9376657165
14,hamiltonian_geometric,17.3850894857
15,sgd,19.9999291135
15,adam,20.2072646915
15,falling_ball,19.999790693
15,entropy_descent,18.876651673
15,hamiltonian_geometric,17.3943769549
16,sgd,19.9999256966
16,adam,20.1761315937
16,falling_ball,19.9997731053
16,entropy_descent,18.8180360194
16,hamiltonian_geometric,17.4287608935
17,sgd,19.9999223307
17,adam,20.1755694578
17,falling_ball,19.9997556597
17,entropy_descent,18.7617241109
17,hamiltonian_geometric,17.4790331632
18,sgd,19.9999190084
18,adam,20.2118915783
18,falling_ball,19.9997377879
18,entropy_descent,18.7076250395
18,hamiltonian_geometric,17.5364490343
19,sgd,19.9999157239
19,adam,20.2426272948
19,falling_ball,19.999719852
19,entropy_descent,18.6556514859
19,hamiltonian_geometric,17.5933084923
20,sgd,19.9999124721
20,adam,20.2076704558
20,falling_ball,19.9997019763
20,entropy_descent,18.6057195786
20,hamiltonian_geometric,17.6433652078
21,sgd,19.9999092489
21,adam,20.1185073392
21,falling_ball,19.9996838026
21,entropy_descent,18.5577487571
21,hamiltonian_geometric,17.6820592211
22,sgd,19.9999060511
22,adam,20.0742632449
22,falling_ball,19.9996657396
22,entropy_descent,18.5116616417
22,hamiltonian_geometric,17.7065836084
23,sgd,19.9999028757
23,adam,20.1095074009
23,falling_ball,19.9996478749
23,entropy_descent,18.4673839072
23,hamiltonian_geometric,17.7158065461
24,sgd,19.9998997205
24,adam,20.1454290305
24,falling_ball,19.9996301195
24,entropy_descent,18.424844163
24,hamiltonian_geometric,17.7100779007
25,sgd,19.9998965835
25,adam,20.1107722917
25,falling_ball,19.9996125781
25,entropy_descent,18.3839738369
25,hamiltonian_geometric,17.6909536994
26,sgd,19.999893463
26,adam,20.0431977366
26,falling_ball,19.9995951097
26,entropy_descent,18.3447070637
26,hamiltonian_geometric,17.6608728195
27,sgd,19.9998903576
27,adam,20.028256841
27,falling_ball,19.9995776602
27,entropy_descent,18.3069805785
27,hamiltonian_geometric,17.6228184084
28,sgd,19.999887266
28,adam,20.0665446902
28,falling_ball,19.9995602985
28,entropy_descent,18.270733614
28,hamiltonian_geometric,17.5799925116
29,sgd,19.9998841872
29,adam,20.0916446688
