optimizer,seeds,mean_val_loss,std_val_loss,mean_val_perplexity,std_val_perplexity,mean_runtime_s,mean_peak_gpu_memory_mb,target_val_loss,target_successes,target_trials,mean_updates_to_target_successes,mean_time_to_target_s_successes
adafactor,3,7.236957661310832,0.005852294582468082,1389.8749706943097,8.12880158721572,60.18763436667117,1350.35205078125,7.5,3,3,66.66666666666667,20.1490588333351
adamw,3,7.356301991144815,0.012676066444793375,1566.1184164875283,19.818184850930294,55.69666323333028,1405.33251953125,7.5,3,3,133.33333333333334,37.138674433333414
hamiltonian_geometric,3,7.3680687904357915,0.01501467395548979,1584.689657874853,23.76054340682612,59.98497243333259,1432.9609375,7.5,3,3,150.0,45.08873569999802
lion,3,8.141481335957844,0.012200132699220725,3434.171051827959,41.77187913404219,57.470515733332526,1377.7041015625,7.5,0,3,,
muon_lite,3,10.563165791829427,0.013691327976595573,38685.813711663446,529.2159051344618,69.80234876666024,1377.73046875,7.5,0,3,,
