optimizer,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy
sgd,0.466530569467,0.471768944377,0.828888888889,0.836666666667
adam,0.0375166207751,0.0517139437468,0.991111111111,0.983333333333
falling_ball,0.160757056342,0.173256860053,0.958888888889,0.953333333333
entropy_descent,0.0642774045656,0.0785256044107,0.983333333333,0.973333333333
hamiltonian_geometric,0.0330817281807,0.0480684577285,0.99,0.98
