x_m,y_m,potential_V
0.038,-0.039,-0.884056380532
0.039,-0.039,-0.856184217686
0.04,-0.039,-0.828137262269
-0.04,-0.038,-1.02133346339
-0.039,-0.038,-1.06031516058
-0.038,-0.038,-1.09780287857
-0.037,-0.038,-1.13381389839
-0.036,-0.038,-1.16836556825
-0.035,-0.038,-1.20147526817
-0.034,-0.038,-1.23316037985
-0.033,-0.038,-1.26343826159
-0.032,-0.038,-1.29232622837
-0.031,-0.038,-1.31984153672
-0.03,-0.038,-1.34600137438
-0.029,-0.038,-1.37082285434
-0.028,-0.038,-1.39432301294
-0.027,-0.038,-1.41651881146
-0.026,-0.038,-1.43742714083
-0.025,-0.038,-1.45706482858
-0.024,-0.038,-1.47544864772
-0.023,-0.038,-1.49259532645
-0.022,-0.038,-1.50852155835
-0.021,-0.038,-1.52324401225
-0.02,-0.038,-1.53677934112
-0.019,-0.038,-1.54914418962
-0.018,-0.038,-1.56035519987
-0.017,-0.038,-1.57042901516
-0.016,-0.038,-1.57938228158
-0.015,-0.038,-1.58723164758
-0.014,-0.038,-1.59399376182
-0.013,-0.038,-1.5996852695
-0.012,-0.038,-1.60432280778
-0.011,-0.038,-1.60792300074
-0.01,-0.038,-1.61050245447
-0.009,-0.038,-1.6120777528
-0.008,-0.038,-1.6126654541
-0.007,-0.038,-1.61228208949
-0.006,-0.038,-1.61094416279
-0.005,-0.038,-1.60866815215
-0.004,-0.038,-1.60547051345
-0.003,-0.038,-1.60136768527
-0.002,-0.038,-1.59637609523
-0.001,-0.038,-1.5905121674
0,-0.038,-1.58379233036
0.001,-0.038,-1.57623302575
0.002,-0.038,-1.56785071675
0.003,-0.038,-1.55866189631
0.004,-0.038,-1.54868309488
0.005,-0.038,-1.53793088724
0.006,-0.038,-1.52642189858
0.007,-0.038,-1.51417280934
0.008,-0.038,-1.5012003591
0.009,-0.038,-1.48752134929
0.01,-0.038,-1.47315264484
0.011,-0.038,-1.45811117486
0.012,-0.038,-1.44241393238
0.013,-0.038,-1.42607797333
0.014,-0.038,-1.40912041479
0.015,-0.038,-1.39155843276
0.016,-0.038,-1.37340925941
0.017,-0.038,-1.35469018009
0.018,-0.038,-1.33541852995
0.019,-0.038,-1.31561169053
0.02,-0.038,-1.29528708608
0.021,-0.038,-1.27446217987
0.022,-0.038,-1.25315447029
0.023,-0.038,-1.23138148703
0.024,-0.038,-1.20916078709
0.025,-0.038,-1.18650995086
0.026,-0.038,-1.16344657829
0.027,-0.038,-1.13998828528
0.028,-0.038,-1.11615270038
0.029,-0.038,-1.09195746207
0.03,-0.038,-1.06742021667
0.031,-0.038,-1.04255861696
0.032,-0.038,-1.01739032154
0.033,-0.038,-0.99193299458
0.034,-0.038,-0.966204305547
0.035,-0.038,-0.940221928038
0.036,-0.038,-0.914003536619
0.037,-0.038,-0.887566800108
0.038,-0.038,-0.860929369445
0.039,-0.038,-0.834108858032
0.04,-0.038,-0.807122812222
-0.04,-0.037,-0.969107545573
-0.039,-0.037,-1.00759081069
-0.038,-0.037,-1.04460766309
-0.037,-0.037,-1.08017524858
-0.036,-0.037,-1.11431077298
-0.035,-0.037,-1.14703146776
-0.034,-0.037,-1.17835456066
-0.033,-0.037,-1.20829725126
-0.032,-0.037,-1.23687669147
-0.031,-0.037,-1.26410997071
-0.03,-0.037,-1.29001410581
-0.029,-0.037,-1.31460603519
-0.028,-0.037,-1.33790261696
-0.027,-0.037,-1.35992063074
-0.026,-0.037,-1.38067678225
-0.025,-0.037,-1.40018771056
-0.024,-0.037,-1.41846999689
-0.023,-0.037,-1.43554017463
-0.022,-0.037,-1.45141473965
-0.021,-0.037,-1.46611016042
-0.02,-0.037,-1.47964288719
-0.019,-0.037,-1.49202935982
-0.018,-0.037,-1.50328601383
-0.017,-0.037,-1.51342928449
-0.016,-0.037,-1.52247560868
-0.015,-0.037,-1.53044142486
-0.014,-0.037,-1.53734317115
-0.013,-0.037,-1.54319728197
-0.012,-0.037,-1.54802018373
-0.011,-0.037,-1.55182829003
-0.01,-0.037,-1.55463799695
-0.009,-0.037,-1.55646567896
-0.008,-0.037,-1.5573276858
-0.007,-0.037,-1.55724034078
-0.006,-0.037,-1.55621994065
-0.005,-0.037,-1.55428275717
-0.004,-0.037,-1.55144504034
-0.003,-0.037,-1.54772302309
-0.002,-0.037,-1.54313292735
-0.001,-0.037,-1.53769097104
0,-0.037,-1.53141337577
0.001,-0.037,-1.52431637488
0.002,-0.037,-1.51641622148
0.003,-0.037,-1.50772919622
0.004,-0.037,-1.49827161448
0.005,-0.037,-1.48805983284
0.006,-0.037,-1.47711025466
0.007,-0.037,-1.46543933457
0.008,-0.037,-1.45306358204
0.009,-0.037,-1.43999956381
0.01,-0.037,-1.42626390532
0.011,-0.037,-1.41187329124
0.012,-0.037,-1.39684446511
0.013,-0.037,-1.38119422834
0.014,-0.037,-1.36493943847
0.015,-0.037,-1.34809700704
0.016,-0.037,-1.33068389703
0.017,-0.037,-1.31271711997
0.018,-0.037,-1.29421373285
0.019,-0.037,-1.27519083492
0.02,-0.037,-1.25566556425
0.021,-0.037,-1.23565509422
0.022,-0.037,-1.21517662995
0.023,-0.037,-1.1942474046
0.024,-0.037,-1.17288467556
0.025,-0.037,-1.1511057207
0.026,-0.037,-1.12892783467
0.027,-0.037,-1.1063683254
0.028,-0.037,-1.08344451094
0.029,-0.037,-1.06017371692
0.03,-0.037,-1.03657327467
0.031,-0.037,-1.01266052023
0.032,-0.037,-0.988452794159
0.033,-0.037,-0.963967441961
0.034,-0.037,-0.939221814676
0.035,-0.037,-0.914233268856
0.036,-0.037,-0.889019164783
0.037,-0.037,-0.863596861398
0.038,-0.037,-0.837983706071
0.039,-0.037,-0.812197017042
0.04,-0.037,-0.786254056155
-0.04,-0.036,-0.918366999774
-0.039,-0.036,-0.956334043539
-0.038,-0.036,-0.992862370445
-0.037,-0.036,-1.0279689824
-0.036,-0.036,-1.06167093439
-0.035,-0.036,-1.09398530121
-0.034,-0.036,-1.12492914886
-0.033,-0.036,-1.15451951078
-0.032,-0.036,-1.1827733688
-0.031,-0.036,-1.20970763869
-0.03,-0.036,-1.23533916026
-0.029,-0.036,-1.25968469169
-0.028,-0.036,-1.28276090779
-0.027,-0.036,-1.30458440176
-0.026,-0.036,-1.32517168997
-0.025,-0.036,-1.34453921917
-0.024,-0.036,-1.36270337541
-0.023,-0.036,-1.37968049419
-0.022,-0.036,-1.39548687091
-0.021,-0.036,-1.41013877116
-0.02,-0.036,-1.42365244012
-0.019,-0.036,-1.43604411063
-0.018,-0.036,-1.44733000951
-0.017,-0.036,-1.45752636187
-0.016,-0.036,-1.4666493933
-0.015,-0.036,-1.47471533011
-0.014,-0.036,-1.48174039763
-0.013,-0.036,-1.48774081722
-0.012,-0.036,-1.49273280211
-0.011,-0.036,-1.49673255293
-0.01,-0.036,-1.49975625315
-0.009,-0.036,-1.50182006515
-0.008,-0.036,-1.50294012726
-0.007,-0.036,-1.5031325521
-0.006,-0.036,-1.50241342642
-0.005,-0.036,-1.50079881263
-0.004,-0.036,-1.49830475178
-0.003,-0.036,-1.49494726814
-0.002,-0.036,-1.49074237488
-0.001,-0.036,-1.48570608072
0,-0.036,-1.4798543973
0.001,-0.036,-1.47320334668
0.002,-0.036,-1.46576896903
0.003,-0.036,-1.45756732987
0.004,-0.036,-1.44861452687
0.005,-0.036,-1.43892669587
0.006,-0.036,-1.42852001601
0.007,-0.036,-1.417410714
0.008,-0.036,-1.40561506723
0.009,-0.036,-1.39314940602
0.01,-0.036,-1.38003011485
0.011,-0.036,-1.36627363275
0.012,-0.036,-1.3518964529
0.013,-0.036,-1.33691512153
0.014,-0.036,-1.32134623633
0.015,-0.036,-1.30520644436
0.016,-0.036,-1.28851243966
0.017,-0.036,-1.27128096054
0.018,-0.036,-1.2535287867
0.019,-0.036,-1.23527273626
0.02,-0.036,-1.21652966253
0.021,-0.036,-1.19731645079
0.022,-0.036,-1.17765001486
0.023,-0.036,-1.15754729359
0.024,-0.036,-1.13702524726
0.025,-0.036,-1.11610085393
0.026,-0.036,-1.09479110584
0.027,-0.036,-1.073113006
0.028,-0.036,-1.05108356516
0.029,-0.036,-1.02871979941
0.03,-0.036,-1.00603872848
0.031,-0.036,-0.98305737506
0.032,-0.036,-0.959792765013
0.033,-0.036,-0.936261928444
0.034,-0.036,-0.9124819011
0.035,-0.036,-0.888469725403
0.036,-0.036,-0.864242449986
0.037,-0.036,-0.839817126206
0.038,-0.036,-0.815210799743
0.039,-0.036,-0.790440495076
0.04,-0.036,-0.765523190413
-0.04,-0.035,-0.869084037998
-0.039,-0.035,-0.906517234788
-0.038,-0.035,-0.942539540764
-0.037,-0.035,-0.977167805244
-0.036,-0.035,-1.01041892401
-0.035,-0.035,-1.04230980706
-0.034,-0.035,-1.0728573509
-0.033,-0.035,-1.10207841548
-0.032,-0.035,-1.12998980558
-0.031,-0.035,-1.15660825681
-0.03,-0.035,-1.18195042594
-0.029,-0.035,-1.20603288535
-0.028,-0.035,-1.22887212144
-0.027,-0.035,-1.25048453642
-0.026,-0.035,-1.27088645313
-0.025,-0.035,-1.29009412225
-0.024,-0.035,-1.30812373135
-0.023,-0.035,-1.32499141502
-0.022,-0.035,-1.34071326547
