step,optimizer,loss
1,sgd,20
1,adam,20
1,falling_ball,20
1,entropy_descent,20
1,hamiltonian_geometric,20
2,sgd,19.9999884511
2,adam,23.5572352127
2,falling_ball,19.9999884511
2,entropy_descent,19.8989618382
2,hamiltonian_geometric,19.8990018617
3,sgd,19.9999806154
3,adam,24.1743912694
3,falling_ball,19.9999755531
3,entropy_descent,19.8017670678
3,hamiltonian_geometric,19.7126479972
4,sgd,19.9999735099
4,adam,22.4397050008
4,falling_ball,19.9999589532
4,entropy_descent,19.7082681776
4,hamiltonian_geometric,19.4610216435
5,sgd,19.9999668133
5,adam,21.7322341417
5,falling_ball,19.9999388043
5,entropy_descent,19.6183233452
5,hamiltonian_geometric,19.1664019022
6,sgd,19.999960391
6,adam,20.8021362812
6,falling_ball,19.9999182928
6,entropy_descent,19.531796217
6,hamiltonian_geometric,18.8512134157
7,sgd,19.9999541752
7,adam,21.3326964325
7,falling_ball,19.9998954368
7,entropy_descent,19.4485556966
7,hamiltonian_geometric,18.5362940411
8,sgd,19.9999481278
8,adam,22.250617353
8,falling_ball,19.9998712805
8,entropy_descent,19.3684757414
8,hamiltonian_geometric,18.2395601148
9,sgd,19.9999422253
9,adam,21.4728625567
9,falling_ball,19.9998483748
9,entropy_descent,19.2914351668
9,hamiltonian_geometric,17.9751061327
10,sgd,19.9999364514
10,adam,20.568773758
10,falling_ball,19.9998254808
10,entropy_descent,19.2173174586
10,hamiltonian_geometric,17.7527369752
11,sgd,19.9999307941
11,adam,20.6839268484
11,falling_ball,19.999802056
11,entropy_descent,19.1460105922
11,hamiltonian_geometric,17.5778984712
12,sgd,19.9999252437
12,adam,20.9180179892
12,falling_ball,19.9997790067
12,entropy_descent,19.0774068588
12,hamiltonian_geometric,17.4519475287
13,sgd,19.9999197924
13,adam,20.7647135914
13,falling_ball,19.9997562255
13,entropy_descent,19.0114026989
13,hamiltonian_geometric,17.3726868876
14,sgd,19.9999144335
14,adam,20.5476249342
14,falling_ball,19.9997337652
14,entropy_descent,18.9478985414
14,hamiltonian_geometric,17.3350816413
15,sgd,19.9999091611
15,adam,20.3915326029
15,falling_ball,19.99971225
15,entropy_descent,18.88679865
15,hamiltonian_geometric,17.3320742954
16,sgd,19.9999039703
16,adam,20.4233546588
16,falling_ball,19.9996914437
16,entropy_descent,18.8280109741
16,hamiltonian_geometric,17.3554211055
17,sgd,19.9998988564
17,adam,20.6855862611
17,falling_ball,19.9996708314
17,entropy_descent,18.7714470071
17,hamiltonian_geometric,17.3964832856
18,sgd,19.9998938156
18,adam,20.7162623316
18,falling_ball,19.9996507414
18,entropy_descent,18.7170216492
18,hamiltonian_geometric,17.4469207958
19,sgd,19.9998888443
19,adam,20.3343826173
19,falling_ball,19.9996313517
19,entropy_descent,18.6646530754
19,hamiltonian_geometric,17.4992522114
20,sgd,19.9998839393
20,adam,20.0699459815
20,falling_ball,19.9996123801
20,entropy_descent,18.6142626097
20,hamiltonian_geometric,17.5472601766
21,sgd,19.9998790976
21,adam,20.2094484721
21,falling_ball,19.9995939697
21,entropy_descent,18.5657746027
21,hamiltonian_geometric,17.5862369116
22,sgd,19.9998743166
22,adam,20.3718689159
22,falling_ball,19.9995761537
22,entropy_descent,18.519116315
22,hamiltonian_geometric,17.6130772073
23,sgd,19.9998695938
23,adam,20.3157774816
23,falling_ball,19.9995586747
23,entropy_descent,18.474217805
23,hamiltonian_geometric,17.6262366454
24,sgd,19.9998649271
24,adam,20.2124730288
24,falling_ball,19.999541688
24,entropy_descent,18.4310118203
24,hamiltonian_geometric,17.6255800803
25,sgd,19.9998603143
25,adam,20.1754321631
25,falling_ball,19.9995252978
25,entropy_descent,18.3894336946
25,hamiltonian_geometric,17.6121496367
26,sgd,19.9998557536
26,adam,20.193937438
26,falling_ball,19.9995093224
26,entropy_descent,18.3494212472
26,hamiltonian_geometric,17.5878828022
27,sgd,19.9998512432
27,adam,20.2413317868
27,falling_ball,19.9994937772
27,entropy_descent,18.3109146875
27,hamiltonian_geometric,17.5553099902
28,sgd,19.9998467814
28,adam,20.205697066
28,falling_ball,19.9994786549
28,entropy_descent,18.2738565223
28,hamiltonian_geometric,17.5172577157
29,sgd,19.9998423666
29,adam,20.0743735617
