optimizer,best_trial,epoch,train_loss,val_loss,train_accuracy,val_accuracy
adamw,5,1,0.804383977193,0.797388652866,0.545555555556,0.573333333333
adamw,5,2,0.736418802319,0.730403387225,0.585555555556,0.583333333333
adamw,5,3,0.677095458909,0.669089364084,0.611111111111,0.636666666667
adamw,5,4,0.604095871791,0.600541442681,0.68,0.666666666667
adamw,5,5,0.54525118648,0.538277394893,0.79,0.796666666667
adamw,5,6,0.445478513517,0.440544556444,0.833333333333,0.816666666667
adamw,5,7,0.359522301115,0.360854334212,0.911111111111,0.9
adamw,5,8,0.300547532777,0.310954217681,0.926666666667,0.916666666667
adamw,5,9,0.249730591074,0.256420362425,0.943333333333,0.92
adamw,5,10,0.217260313192,0.228847887555,0.945555555556,0.933333333333
adamw,5,11,0.195556744665,0.205190237167,0.958888888889,0.94
adamw,5,12,0.183691880788,0.19819694142,0.957777777778,0.943333333333
adamw,5,13,0.163593436008,0.177777812735,0.964444444444,0.95
adamw,5,14,0.166188882909,0.183366824857,0.96,0.953333333333
adamw,5,15,0.144966629712,0.16037756509,0.965555555556,0.956666666667
adamw,5,16,0.143196077867,0.157646958694,0.96,0.95
adamw,5,17,0.131936224742,0.145468679493,0.963333333333,0.946666666667
adamw,5,18,0.147773832009,0.168558255127,0.955555555556,0.936666666667
adamw,5,19,0.133484196275,0.148490923528,0.963333333333,0.95
adamw,5,20,0.116778686256,0.125294135792,0.98,0.95
adamw,5,21,0.128227090439,0.13431875097,0.963333333333,0.946666666667
adamw,5,22,0.10933753383,0.11935934947,0.974444444444,0.96
adamw,5,23,0.109934391408,0.124060267214,0.97,0.953333333333
adamw,5,24,0.10409195936,0.106701723867,0.977777777778,0.97
adamw,5,25,0.0901281329146,0.0991372292796,0.982222222222,0.96
adamw,5,26,0.0905284651229,0.104293331257,0.981111111111,0.96
adamw,5,27,0.0883119936016,0.0922354661896,0.982222222222,0.973333333333
adamw,5,28,0.0894532280083,0.100623343748,0.974444444444,0.963333333333
adamw,5,29,0.0756648100261,0.085318045195,0.982222222222,0.976666666667
