optimizer,final_train_loss,final_val_loss,final_val_perplexity,runtime_s,peak_gpu_memory_mb,target_val_loss,updates_to_target,time_to_target_s,target_reached
adafactor,7.1803457641601565,7.230723857879639,1381.2219507073064,60.38505180001084,1350.35205078125,7.5,50,15.11552930000471,True
adamw,7.3296111297607425,7.342620086669922,1544.7542059410907,55.38490180000372,1405.33251953125,7.5,125,34.48821140000655,True
hamiltonian_geometric,7.349403285980225,7.352218341827393,1559.6525355724932,60.20413300000655,1432.9609375,7.5,150,45.3021463000041,True
lion,8.236644477844239,8.15068998336792,3465.769564038723,57.909605999986525,1377.7041015625,7.5,,,False
muon_lite,10.595888595581055,10.576277446746825,39193.94097026779,69.95906729999115,1377.73046875,7.5,,,False
