epoch,optimizer,train_loss,test_loss,train_accuracy,test_accuracy
1,sgd,0.543842511978,0.584906003009,0.85925,0.836
2,sgd,0.430290051342,0.474260562539,0.889,0.858
3,sgd,0.380446052335,0.434698402342,0.90225,0.88
4,sgd,0.349435650543,0.408785136426,0.909,0.882
5,sgd,0.332399013579,0.396140232697,0.9105,0.879
6,sgd,0.316124986512,0.385578237443,0.91625,0.885
7,sgd,0.302754971616,0.383576334248,0.917,0.883
8,sgd,0.28931756012,0.371179657538,0.921,0.886
9,sgd,0.278151508931,0.363824661422,0.92575,0.891
10,sgd,0.274597827845,0.366137815869,0.9245,0.881
11,sgd,0.264499126855,0.366425582713,0.92625,0.887
12,sgd,0.262921643296,0.371353610795,0.924,0.882
1,heavy_ball,0.408322565426,0.467574076215,0.879,0.843
2,heavy_ball,0.309952646933,0.377232939529,0.9105,0.882
3,heavy_ball,0.285960632422,0.383702778924,0.9175,0.887
4,heavy_ball,0.264157267642,0.372879043928,0.92425,0.886
5,heavy_ball,0.248598762085,0.366777119834,0.927,0.881
6,heavy_ball,0.226223479769,0.364203422244,0.9345,0.892
7,heavy_ball,0.211535499493,0.362860637991,0.94425,0.889
8,heavy_ball,0.211631448712,0.360446176479,0.939,0.89
9,heavy_ball,0.197361437008,0.360537905768,0.945,0.891
10,heavy_ball,0.18812898554,0.364344479871,0.95325,0.884
11,heavy_ball,0.190434676721,0.383146655831,0.94775,0.881
12,heavy_ball,0.181218124181,0.381644184237,0.95125,0.884
1,nesterov,0.389341427394,0.442544744755,0.89,0.856
2,nesterov,0.313981591349,0.377457882548,0.91125,0.884
3,nesterov,0.288069227017,0.377809899305,0.917,0.892
4,nesterov,0.26269177932,0.362977978374,0.9265,0.887
5,nesterov,0.249673446664,0.360779267094,0.92925,0.888
6,nesterov,0.232406318583,0.359313477803,0.93375,0.887
7,nesterov,0.219583692731,0.360904062335,0.94325,0.888
8,nesterov,0.216983113673,0.357145346891,0.93775,0.888
9,nesterov,0.202864392589,0.353501053093,0.94775,0.893
10,nesterov,0.193819465373,0.358351089741,0.95025,0.888
11,nesterov,0.190861934676,0.37101646359,0.9485,0.885
12,nesterov,0.183552637027,0.370812979883,0.95225,0.889
1,adamw,0.383792658176,0.441376218169,0.89025,0.863
2,adamw,0.307847711617,0.384036120764,0.91075,0.884
3,adamw,0.267144845086,0.372084872946,0.927,0.887
4,adamw,0.240961646102,0.359248494496,0.93125,0.891
5,adamw,0.226206086835,0.360282050367,0.93625,0.884
6,adamw,0.2031552382,0.363043657178,0.9445,0.892
7,adamw,0.187608895299,0.362640579474,0.951,0.895
8,adamw,0.186688572603,0.361092696462,0.946,0.891
9,adamw,0.168491070665,0.358218138889,0.95575,0.896
10,adamw,0.155729007075,0.364367355408,0.9625,0.888
11,adamw,0.157580766505,0.380007645582,0.9585,0.888
12,adamw,0.145548710837,0.376791782153,0.96175,0.888
1,entropy_descent,0.556397758903,0.610833473081,0.8235,0.803
2,entropy_descent,0.892219257289,1.02316849732,0.751,0.726
3,entropy_descent,0.28217638191,0.391382352981,0.91525,0.889
4,entropy_descent,0.274540643425,0.399134494636,0.91825,0.875
5,entropy_descent,0.273348502131,0.400007393496,0.91825,0.878
6,entropy_descent,0.243413275322,0.398093034138,0.927,0.882
7,entropy_descent,0.267910341689,0.440934185796,0.91125,0.872
8,entropy_descent,0.215684475318,0.394265752067,0.93325,0.883
9,entropy_descent,0.216056170921,0.407389309159,0.935,0.882
10,entropy_descent,0.211062676814,0.416021594379,0.93525,0.883
11,entropy_descent,0.1882197174,0.421556753743,0.94125,0.893
12,entropy_descent,0.164432737362,0.400603345632,0.9515,0.888
1,hamiltonian_geometric,0.447363013697,0.492206856454,0.86925,0.845
2,hamiltonian_geometric,0.367271710173,0.421091886051,0.89775,0.877
3,hamiltonian_geometric,0.332866173846,0.399699603359,0.9055,0.884
4,hamiltonian_geometric,0.302982572577,0.378619398803,0.915,0.886
5,hamiltonian_geometric,0.293554609579,0.380886382559,0.9165,0.888
6,hamiltonian_geometric,0.276189157579,0.37096223743,0.92425,0.888
7,hamiltonian_geometric,0.263523812214,0.367829018752,0.926,0.89
8,hamiltonian_geometric,0.258607388896,0.364120909256,0.9235,0.888
9,hamiltonian_geometric,0.245991238417,0.357152648157,0.93325,0.892
10,hamiltonian_geometric,0.237163719712,0.359087285683,0.936,0.888
11,hamiltonian_geometric,0.234653350632,0.368869540303,0.93275,0.886
12,hamiltonian_geometric,0.224216366488,0.362760029275,0.94125,0.887
