workload,n,hg_mean,hg_std,hg_ci_low,hg_ci_high,other_mean,other_std,other_ci_low,other_ci_high,mean_diff,paired_t,paired_p,wilcoxon_p,cohen_dz,hg_wins,holm_paired_p,holm_wilcoxon_p
MNIST softmax (test loss),10,0.3361203962641,0.027448818650481578,0.31648469428174164,0.3557560982464584,0.33779578986250003,0.027703348367763544,0.3179780082891092,0.35761357143589084,-0.001675393598399999,-0.4155394580239591,0.6874793261446442,0.375,-0.13140511450276418,7,1.0,0.75
AlgoPerf-style MLP (val loss),10,0.048486998067819996,0.02833656075113128,0.02821624364304095,0.06875775249259905,0.05494047343263,0.025858010663217766,0.03644276693003408,0.07343817993522592,-0.006453475364809999,-2.08197430321373,0.06705024855620573,0.083984375,-0.6583780828097406,8,0.20115074566861718,0.251953125
DeepOBS-style MLP (val loss),10,0.058044759592860005,0.03869180085326011,0.030366312648038733,0.08572320653768128,0.05510260943517,0.02546127751442693,0.0368887087303891,0.0733165101399509,0.002942150157690002,0.41365027147156963,0.6888131368661139,0.921875,0.13080770125971303,5,1.0,0.921875
