workload,n,hg_mean,hg_std,hg_ci_low,hg_ci_high,other_mean,other_std,other_ci_low,other_ci_high,mean_diff,paired_t,paired_p,wilcoxon_p,cohen_dz,hg_wins,holm_paired_p,holm_wilcoxon_p
MNIST softmax (test loss),10,0.33662413880439995,0.027668728341237854,0.3168311229060692,0.3564171547027307,0.3378715704692,0.028653000947295396,0.31737444836476825,0.3583686925736318,-0.0012474316648000028,-0.8271894625553207,0.42951542065956305,0.431640625,-0.26158027581653787,6,0.42951542065956305,0.431640625
AlgoPerf-style MLP (val loss),10,0.0514158674237,0.024634794510532364,0.03379319704342246,0.06903853780397755,0.053705508364050004,0.025561678132856144,0.03541978538351204,0.07199123134458797,-0.00228964094035,-2.838799347360438,0.01944121248981073,0.00390625,-0.8977071757858488,9,0.058323637469432185,0.01171875
DeepOBS-style MLP (val loss),10,0.04646003702519,0.036164046430738325,0.02058983666311757,0.07233023738726242,0.057070479752980005,0.02728712124090791,0.03755044912923772,0.07659051037672229,-0.010610442727790001,-2.041374531833945,0.07160578476065826,0.130859375,-0.6455393078055169,8,0.14321156952131653,0.26171875
