x_m,y_m,potential_V
-0.04,-0.04,-0.761264571514
-0.039,-0.04,-0.81059264766
-0.038,-0.04,-0.858767207724
-0.037,-0.04,-0.905790179316
-0.036,-0.04,-0.951663401758
-0.035,-0.04,-0.996388617004
-0.034,-0.04,-1.03996745989
-0.033,-0.04,-1.08240144769
-0.032,-0.04,-1.12369196909
-0.031,-0.04,-1.16384027266
-0.03,-0.04,-1.20284745516
-0.029,-0.04,-1.2407144497
-0.028,-0.04,-1.27744201419
-0.027,-0.04,-1.31303072016
-0.026,-0.04,-1.34748094226
-0.025,-0.04,-1.38079284859
-0.024,-0.04,-1.412966392
-0.023,-0.04,-1.44400130255
-0.022,-0.04,-1.47389708113
-0.021,-0.04,-1.50265299434
-0.02,-0.04,-1.5302680706
-0.019,-0.04,-1.55674109751
-0.018,-0.04,-1.58207062038
-0.017,-0.04,-1.60625494185
-0.016,-0.04,-1.62929212251
-0.015,-0.04,-1.65117998244
-0.014,-0.04,-1.6719161035
-0.013,-0.04,-1.69149783225
-0.012,-0.04,-1.70992228339
-0.011,-0.04,-1.72718634357
-0.01,-0.04,-1.74328667538
-0.009,-0.04,-1.75821972151
-0.008,-0.04,-1.77198170883
-0.007,-0.04,-1.78456865231
-0.006,-0.04,-1.7959763587
-0.005,-0.04,-1.80620042992
-0.004,-0.04,-1.81523626591
-0.003,-0.04,-1.82307906716
-0.002,-0.04,-1.82972383659
-0.001,-0.04,-1.83516538103
0,-0.04,-1.83939831211
0.001,-0.04,-1.84241704673
0.002,-0.04,-1.84421580706
0.003,-0.04,-1.84478862017
0.004,-0.04,-1.84412931739
0.005,-0.04,-1.84223153337
0.006,-0.04,-1.83908870503
0.007,-0.04,-1.83469407042
0.008,-0.04,-1.82904066749
0.009,-0.04,-1.82212133294
0.01,-0.04,-1.81392870121
0.011,-0.04,-1.80445520353
0.012,-0.04,-1.79369306733
0.013,-0.04,-1.78163431595
0.014,-0.04,-1.76827076876
0.015,-0.04,-1.75359404185
0.016,-0.04,-1.73759554952
0.017,-0.04,-1.7202665064
0.018,-0.04,-1.70159793066
0.019,-0.04,-1.68158064822
0.02,-0.04,-1.66020529811
0.021,-0.04,-1.63746233895
0.022,-0.04,-1.61334205667
0.023,-0.04,-1.58783457331
0.024,-0.04,-1.5609298568
0.025,-0.04,-1.53261773151
