step,optimizer,loss
1,sgd,20
1,adam,20
1,falling_ball,20
1,entropy_descent,20
1,hamiltonian_geometric,20
2,sgd,19.9999863245
2,adam,21.2716456813
2,falling_ball,19.9999863245
2,entropy_descent,19.8949016063
2,hamiltonian_geometric,19.8949432264
3,sgd,19.9999766034
3,adam,24.2652606196
3,falling_ball,19.999969585
3,entropy_descent,19.7939145578
3,hamiltonian_geometric,19.7013180205
4,sgd,19.9999679064
4,adam,20.7876377361
4,falling_ball,19.9999500316
4,entropy_descent,19.6968766364
4,hamiltonian_geometric,19.4403668953
5,sgd,19.9999597332
5,adam,21.1209978749
5,falling_ball,19.9999261118
5,entropy_descent,19.6036320341
5,hamiltonian_geometric,19.1356593805
6,sgd,19.9999519012
6,adam,22.0745585016
6,falling_ball,19.9999000614
6,entropy_descent,19.5140310991
6,hamiltonian_geometric,18.8108734726
7,sgd,19.9999443286
7,adam,20.7979216835
7,falling_ball,19.9998723938
7,entropy_descent,19.4279300924
7,hamiltonian_geometric,18.4879238917
8,sgd,19.9999369711
8,adam,20.3910596999
8,falling_ball,19.9998443039
8,entropy_descent,19.3451909544
8,hamiltonian_geometric,18.1855263787
9,sgd,19.9999297998
9,adam,21.172665923
9,falling_ball,19.9998171752
9,entropy_descent,19.2656810802
9,hamiltonian_geometric,17.9182392495
10,sgd,19.9999227939
10,adam,21.0860153291
10,falling_ball,19.9997892327
10,entropy_descent,19.189273104
10,hamiltonian_geometric,17.6959799235
11,sgd,19.9999159369
11,adam,20.3892987122
11,falling_ball,19.9997601343
11,entropy_descent,19.1158446919
11,hamiltonian_geometric,17.5239777919
12,sgd,19.9999092153
12,adam,20.3472808325
12,falling_ball,19.9997320437
12,entropy_descent,19.0452783431
12,hamiltonian_geometric,17.4030972617
13,sgd,19.9999026179
13,adam,20.7532652262
13,falling_ball,19.9997049125
13,entropy_descent,18.9774611989
13,hamiltonian_geometric,17.330446805
14,sgd,19.9998961353
14,adam,20.65812132
14,falling_ball,19.9996775039
14,entropy_descent,18.912284859
14,hamiltonian_geometric,17.3001812314
15,sgd,19.999889759
15,adam,20.2341084076
15,falling_ball,19.9996499338
15,entropy_descent,18.8496452056
15,hamiltonian_geometric,17.3044043384
16,sgd,19.9998834819
16,adam,20.1914954394
16,falling_ball,19.999622342
16,entropy_descent,18.7894422338
16,hamiltonian_geometric,17.334086214
17,sgd,19.9998772974
17,adam,20.4270797434
17,falling_ball,19.999594653
17,entropy_descent,18.7315798891
17,hamiltonian_geometric,17.3799220656
18,sgd,19.9998711997
18,adam,20.3949959706
18,falling_ball,19.9995670531
18,entropy_descent,18.6759659113
18,hamiltonian_geometric,17.4330756798
19,sgd,19.9998651837
19,adam,20.1574893083
19,falling_ball,19.9995392388
19,entropy_descent,18.6225116848
19,hamiltonian_geometric,17.4857686323
20,sgd,19.9998592445
20,adam,20.1454778296
20,falling_ball,19.99951096
20,entropy_descent,18.5711320939
20,hamiltonian_geometric,17.531694506
21,sgd,19.9998533777
21,adam,20.318309984
21,falling_ball,19.9994826427
21,entropy_descent,18.521745385
21,hamiltonian_geometric,17.5662541983
22,sgd,19.9998475793
22,adam,20.2912685469
22,falling_ball,19.9994544249
22,entropy_descent,18.4742730338
22,hamiltonian_geometric,17.5866228292
23,sgd,19.9998418457
23,adam,20.087581776
23,falling_ball,19.9994260435
23,entropy_descent,18.428639617
23,hamiltonian_geometric,17.5916700705
24,sgd,19.9998361732
24,adam,20.0520664798
24,falling_ball,19.9993975665
24,entropy_descent,18.3847726904
24,hamiltonian_geometric,17.5817635198
25,sgd,19.9998305588
25,adam,20.2029275968
25,falling_ball,19.9993691738
25,entropy_descent,18.342602671
25,hamiltonian_geometric,17.5584890157
26,sgd,19.9998249993
26,adam,20.2279496066
26,falling_ball,19.9993408816
26,entropy_descent,18.3020627236
26,hamiltonian_geometric,17.5243227549
27,sgd,19.999819492
27,adam,20.0799157804
27,falling_ball,19.9993127269
27,entropy_descent,18.2630886527
27,hamiltonian_geometric,17.4822881968
28,sgd,19.9998140343
28,adam,20.0197578117
28,falling_ball,19.9992846905
28,entropy_descent,18.2256187977
28,hamiltonian_geometric,17.4356266187
29,sgd,19.9998086237
29,adam,20.1148408019
